anonymized_latitude,anonymized_longitude,timestamp,species_name
39.673477,-82.60819,2022-12-01 14:10:36.441,"Common Grackle,House Finch"
39.106018,-77.3224,2022-12-02 16:14:06.524,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:35.440,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:36.447,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:36.526,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:36.677,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:37.189,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:37.710,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:37.785,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-02 20:23:37.938,"Common Grackle,House Finch"
40.384,-77.0011,2022-12-03 15:44:34.990,"Common Grackle,House Finch"
42.730064,-83.156456,2022-12-04 17:05:52.356,"Common Grackle,House Finch"
40.43601,-74.31621,2022-12-04 20:15:11.756,"Common Grackle,House Finch"
42.01832,-71.09776,2022-12-06 13:25:40.546,"Common Grackle,House Finch"
39.899673,-75.72545,2022-12-07 19:10:21.100,"Common Grackle,House Finch"
45.01912,-93.415634,2022-12-10 16:24:58.964,"Common Grackle,House Finch"
41.203327,-73.15727,2022-12-13 13:36:21.798,"Common Grackle,House Finch"
41.203327,-73.15727,2022-12-13 13:36:21.902,"Common Grackle,House Finch"
41.63778,-93.878395,2022-12-13 14:01:04.790,"Common Grackle,House Finch"
41.002254,-74.13244,2022-12-15 16:09:21.105,"Common Grackle,House Finch"
40.080128,-76.560196,2022-12-15 16:29:10.525,"Common Grackle,House Finch"
41.911133,-70.6892,2022-12-15 16:42:32.388,"Common Grackle,House Finch"
39.031254,-77.24656,2022-12-15 18:46:50.619,"Common Grackle,House Finch"
34.738003,-86.68809,2022-12-17 15:19:05.197,"Common Grackle,House Finch"
39.68892,-75.669365,2022-12-17 16:14:47.073,"Common Grackle,House Finch"
39.68892,-75.669365,2022-12-18 15:52:53.672,"Common Grackle,House Finch"
40.724167,-74.859695,2022-12-20 18:47:03.816,"Common Grackle,House Finch"
40.415913,-75.27702,2022-12-21 14:10:55.047,"Common Grackle,House Finch"
40.15476,-111.62088,2022-12-22 20:29:26.386,"Common Grackle,House Finch"
35.651875,-80.847984,2022-12-24 16:05:33.968,"Common Grackle,House Finch"
36.46278,-76.14894,2022-12-25 16:53:29.747,"Common Grackle,House Finch"
35.98243,-86.90499,2022-12-25 18:09:46.029,"Common Grackle,House Finch"
36.301376,-79.68886,2022-12-26 20:19:41.142,"Common Grackle,House Finch"
40.943245,-74.670296,2022-12-27 20:05:59.591,"Common Grackle,House Finch"
41.645203,-88.350876,2022-12-27 20:53:13.371,"Common Grackle,House Finch"
32.791965,-97.28423,2022-12-28 14:43:38.912,"Common Grackle,House Finch"
34.001144,-83.35601,2022-12-28 17:35:19.412,"Common Grackle,House Finch"
40.34799,-79.95381,2022-12-30 15:18:41.209,"Common Grackle,House Finch"
