anonymized_latitude,anonymized_longitude,timestamp,species_name
38.82962,-76.98974,2022-12-02 20:43:20.118,"Fish Crow,Red-Headed Woodpecker"
38.82962,-76.98974,2022-12-04 15:33:34.988,"Fish Crow,Red-Headed Woodpecker"
40.096268,-75.24646,2022-12-04 19:33:22.882,"Fish Crow,Red-Headed Woodpecker"
40.95201,-74.05116,2022-12-05 21:12:31.119,"Fish Crow,Red-Headed Woodpecker"
40.43601,-74.31621,2022-12-06 14:34:20.835,"Fish Crow,Red-Headed Woodpecker"
33.960964,-84.377716,2022-12-07 18:53:41.954,"Fish Crow,Red-Headed Woodpecker"
38.69841,-77.08715,2022-12-09 12:33:09.483,"Fish Crow,Red-Headed Woodpecker"
39.27244,-76.59412,2022-12-19 20:08:52.519,"Fish Crow,Red-Headed Woodpecker"
33.86805,-84.22267,2022-12-22 16:11:26.064,"Fish Crow,Red-Headed Woodpecker"
41.031113,-73.541374,2022-12-22 16:30:36.319,"Fish Crow,Red-Headed Woodpecker"
40.308655,-77.18953,2022-12-30 14:32:55.655,"Fish Crow,Red-Headed Woodpecker"
