anonymized_latitude,anonymized_longitude,timestamp,species_name
39.28508,-74.74727,2022-12-01 13:39:04.065,"Mourning Dove,Orchard Oriole"
40.520878,-74.80724,2022-12-04 14:36:20.531,"Mourning Dove,Orchard Oriole"
38.505733,-90.23305,2022-12-07 16:49:55.951,"Mourning Dove,Orchard Oriole"
40.74953,-73.83832,2022-12-12 12:40:38.960,"Mourning Dove,Orchard Oriole"
39.266655,-76.52473,2022-12-14 18:12:51.332,"Mourning Dove,Orchard Oriole"
40.74953,-73.83832,2022-12-16 14:52:39.082,"Mourning Dove,Orchard Oriole"
42.203667,-87.93767,2022-12-17 19:19:15.290,"Mourning Dove,Orchard Oriole"
43.264153,-71.46164,2022-12-19 12:36:33.333,"Mourning Dove,Orchard Oriole"
43.21723,-87.8682,2022-12-21 17:21:08.365,"Mourning Dove,Orchard Oriole"
43.536465,-79.70425,2022-12-21 18:11:37.276,"Mourning Dove,Orchard Oriole"
40.745594,-74.18583,2022-12-22 16:27:52.093,"Mourning Dove,Orchard Oriole"
34.221115,-80.91623,2022-12-28 20:17:09.856,"Mourning Dove,Orchard Oriole"
29.632416,-95.66014,2022-12-28 23:19:09.529,"Mourning Dove,Orchard Oriole"
39.357666,-94.87791,2022-12-31 14:44:06.696,"Mourning Dove,Orchard Oriole"
