anonymized_latitude,anonymized_longitude,timestamp,species_name
39.011707,-94.64606,2022-11-01 14:07:58.883,"Eastern Bluebird,House Finch"
42.475388,-71.09272,2022-11-05 19:47:33.024,"Eastern Bluebird,House Finch"
35.796707,-84.18844,2022-11-13 20:06:03.727,"Eastern Bluebird,House Finch"
37.95462,-87.35417,2022-11-16 20:52:01.084,"Eastern Bluebird,House Finch"
38.088882,-97.69932,2022-11-17 21:12:21.683,"Eastern Bluebird,House Finch"
32.79543,-80.10396,2022-11-19 13:30:59.035,"Eastern Bluebird,House Finch"
39.106018,-77.3224,2022-11-20 12:08:20.638,"Eastern Bluebird,House Finch"
40.29069,-74.26677,2022-11-27 20:12:52.350,"Eastern Bluebird,House Finch"
40.29069,-74.26677,2022-11-27 20:12:57.609,"Eastern Bluebird,House Finch"
41.25161,-72.61868,2022-11-28 14:27:51.594,"Eastern Bluebird,House Finch"
36.109783,-83.94704,2022-11-29 20:38:36.521,"Eastern Bluebird,House Finch"
39.106018,-77.3224,2022-11-30 16:55:00.392,"Eastern Bluebird,House Finch"
39.324936,-77.29434,2022-11-30 17:35:39.210,"Eastern Bluebird,House Finch"
39.324936,-77.29434,2022-11-30 17:35:43.220,"Eastern Bluebird,House Finch"
39.106018,-77.3224,2022-11-30 17:46:20.561,"Eastern Bluebird,House Finch"
39.106018,-77.3224,2022-11-30 17:46:21.388,"Eastern Bluebird,House Finch"
34.3954,-86.534096,2022-11-30 18:26:31.067,"Eastern Bluebird,House Finch"
