anonymized_latitude,anonymized_longitude,timestamp,species_name
32.90576,-96.68604,2022-11-07 15:20:24.700,"Eurasian Collared Dove,White-Winged Dove"
30.383112,-97.69559,2022-11-09 14:50:58.492,"Eurasian Collared Dove,White-Winged Dove"
36.731796,-101.48013,2022-11-13 13:59:19.572,"Eurasian Collared Dove,White-Winged Dove"
32.091396,-102.14014,2022-11-14 22:18:02.599,"Eurasian Collared Dove,White-Winged Dove"
32.27276,-110.73779,2022-11-15 14:37:21.590,"Eurasian Collared Dove,White-Winged Dove"
32.27276,-110.73779,2022-11-15 14:57:09.267,"Eurasian Collared Dove,White-Winged Dove"
29.980389,-95.52996,2022-11-15 16:00:54.962,"Eurasian Collared Dove,White-Winged Dove"
29.521862,-98.27786,2022-11-15 21:57:07.287,"Eurasian Collared Dove,White-Winged Dove"
32.091396,-102.14014,2022-11-16 14:10:23.289,"Eurasian Collared Dove,White-Winged Dove"
30.383112,-97.69559,2022-11-16 21:03:36.637,"Eurasian Collared Dove,White-Winged Dove"
32.293118,-111.02628,2022-11-17 00:18:25.692,"Eurasian Collared Dove,White-Winged Dove"
32.293118,-111.02628,2022-11-17 14:18:01.598,"Eurasian Collared Dove,White-Winged Dove"
32.227562,-111.01618,2022-11-17 15:12:55.813,"Eurasian Collared Dove,White-Winged Dove"
30.278027,-98.04655,2022-11-18 15:18:42.204,"Eurasian Collared Dove,White-Winged Dove"
42.013115,-87.79812,2022-11-18 19:42:48.829,"Eurasian Collared Dove,White-Winged Dove"
33.498512,-111.7525,2022-11-19 22:12:24.427,"Eurasian Collared Dove,White-Winged Dove"
33.498512,-111.7525,2022-11-19 22:12:24.948,"Eurasian Collared Dove,White-Winged Dove"
30.383112,-97.69559,2022-11-20 18:15:23.802,"Eurasian Collared Dove,White-Winged Dove"
30.376942,-89.15464,2022-11-20 20:47:44.396,"Eurasian Collared Dove,White-Winged Dove"
30.376942,-89.15464,2022-11-22 14:20:14.343,"Eurasian Collared Dove,White-Winged Dove"
30.370852,-97.72142,2022-11-22 15:10:24.682,"Eurasian Collared Dove,White-Winged Dove"
32.27276,-110.73779,2022-11-23 15:25:50.834,"Eurasian Collared Dove,White-Winged Dove"
30.376942,-89.15464,2022-11-23 18:12:06.565,"Eurasian Collared Dove,White-Winged Dove"
35.258633,-106.6692,2022-11-24 15:29:23.564,"Eurasian Collared Dove,White-Winged Dove"
35.258633,-106.6692,2022-11-24 15:29:32.205,"Eurasian Collared Dove,White-Winged Dove"
32.325413,-111.115524,2022-11-24 17:33:54.905,"Eurasian Collared Dove,White-Winged Dove"
30.328949,-89.6692,2022-11-25 13:02:21.112,"Eurasian Collared Dove,White-Winged Dove"
39.596344,-104.665565,2022-11-25 14:16:03.952,"Eurasian Collared Dove,White-Winged Dove"
26.151985,-98.38469,2022-11-26 14:13:23.820,"Eurasian Collared Dove,White-Winged Dove"
42.014763,-87.87943,2022-11-26 19:58:56.277,"Eurasian Collared Dove,White-Winged Dove"
29.521862,-98.27786,2022-11-27 14:11:27.331,"Eurasian Collared Dove,White-Winged Dove"
32.227562,-111.01618,2022-11-27 14:28:27.854,"Eurasian Collared Dove,White-Winged Dove"
35.258633,-106.6692,2022-11-27 15:19:17.110,"Eurasian Collared Dove,White-Winged Dove"
35.258633,-106.6692,2022-11-27 15:41:41.004,"Eurasian Collared Dove,White-Winged Dove"
27.132994,-82.375854,2022-11-27 20:10:19.499,"Eurasian Collared Dove,White-Winged Dove"
33.525078,-112.0151,2022-11-27 23:09:34.173,"Eurasian Collared Dove,White-Winged Dove"
32.227562,-111.01618,2022-11-28 14:30:00.034,"Eurasian Collared Dove,White-Winged Dove"
32.325413,-111.115524,2022-11-28 19:17:53.357,"Eurasian Collared Dove,White-Winged Dove"
32.325413,-111.115524,2022-11-28 19:17:56.511,"Eurasian Collared Dove,White-Winged Dove"
32.325413,-111.115524,2022-11-28 19:17:56.661,"Eurasian Collared Dove,White-Winged Dove"
32.227562,-111.01618,2022-11-28 23:51:06.556,"Eurasian Collared Dove,White-Winged Dove"
36.291256,-115.24036,2022-11-29 15:10:13.504,"Eurasian Collared Dove,White-Winged Dove"
29.963554,-97.832375,2022-11-29 15:59:49.659,"Eurasian Collared Dove,White-Winged Dove"
29.980389,-95.52996,2022-11-30 15:43:44.845,"Eurasian Collared Dove,White-Winged Dove"
32.90576,-96.68604,2022-11-30 20:32:45.471,"Eurasian Collared Dove,White-Winged Dove"
