anonymized_latitude,anonymized_longitude,timestamp,species_name
41.415977,-71.78998,2022-11-01 11:25:11.450,Gray Catbird
41.031113,-73.541374,2022-11-01 11:25:27.329,Gray Catbird
41.26992,-73.55342,2022-11-01 11:25:31.114,Gray Catbird
42.310947,-71.56087,2022-11-01 11:27:05.185,Gray Catbird
41.211555,-73.67859,2022-11-01 11:33:10.430,Gray Catbird
42.569305,-73.77021,2022-11-01 11:33:59.723,Gray Catbird
38.841602,-77.92626,2022-11-01 11:42:17.102,Gray Catbird
41.034504,-74.95894,2022-11-01 11:42:40.073,Gray Catbird
39.988964,-76.36986,2022-11-01 11:44:52.476,Gray Catbird
42.22596,-71.78319,2022-11-01 11:48:47.636,Gray Catbird
42.776814,-71.0534,2022-11-01 11:49:17.773,Gray Catbird
42.776814,-71.0534,2022-11-01 11:49:18.080,Gray Catbird
41.550182,-75.73464,2022-11-01 11:49:59.469,Gray Catbird
41.550182,-75.73464,2022-11-01 11:49:59.586,Gray Catbird
41.60548,-71.13869,2022-11-01 11:53:22.688,Gray Catbird
38.841602,-77.92626,2022-11-01 11:57:07.439,Gray Catbird
41.728523,-71.52951,2022-11-01 11:58:20.434,Gray Catbird
38.759785,-76.82637,2022-11-01 11:59:16.788,Gray Catbird
41.26992,-73.55342,2022-11-01 11:59:49.262,Gray Catbird
41.58122,-71.53416,2022-11-01 12:02:20.371,Gray Catbird
41.58122,-71.53416,2022-11-01 12:02:21.938,Gray Catbird
44.172783,-72.031395,2022-11-01 12:02:46.053,Gray Catbird
44.172783,-72.031395,2022-11-01 12:02:47.610,Gray Catbird
41.002254,-74.13244,2022-11-01 12:03:23.194,Gray Catbird
43.97949,-79.39874,2022-11-01 12:03:31.295,Gray Catbird
43.786926,-79.25492,2022-11-01 12:09:09.959,Gray Catbird
43.786926,-79.25492,2022-11-01 12:09:10.601,Gray Catbird
42.59858,-72.00059,2022-11-01 12:10:07.970,Gray Catbird
40.745594,-74.18583,2022-11-01 12:10:27.979,Gray Catbird
41.067135,-74.73566,2022-11-01 12:11:42.990,Gray Catbird
43.97949,-79.39874,2022-11-01 12:13:44.398,Gray Catbird
42.252983,-71.18184,2022-11-01 12:14:31.451,Gray Catbird
42.2662,-71.49436,2022-11-01 12:14:54.399,Gray Catbird
41.067135,-74.73566,2022-11-01 12:17:46.258,Gray Catbird
42.310947,-71.56087,2022-11-01 12:18:57.044,Gray Catbird
40.951653,-74.512146,2022-11-01 12:21:56.302,Gray Catbird
41.067135,-74.73566,2022-11-01 12:22:32.168,Gray Catbird
40.33147,-75.02726,2022-11-01 12:22:59.560,Gray Catbird
41.60548,-71.13869,2022-11-01 12:26:38.202,Gray Catbird
41.526012,-81.621994,2022-11-01 12:27:57.474,Gray Catbird
35.56283,-83.10507,2022-11-01 12:29:24.947,Gray Catbird
39.21151,-80.807686,2022-11-01 12:31:23.865,Gray Catbird
41.26992,-73.55342,2022-11-01 12:32:03.154,Gray Catbird
42.22596,-71.78319,2022-11-01 12:33:06.674,Gray Catbird
42.22596,-71.78319,2022-11-01 12:33:15.411,Gray Catbird
41.067135,-74.73566,2022-11-01 12:33:55.748,Gray Catbird
35.56283,-83.10507,2022-11-01 12:34:36.226,Gray Catbird
40.882122,-73.76055,2022-11-01 12:35:08.582,Gray Catbird
42.776814,-71.0534,2022-11-01 12:35:27.913,Gray Catbird
43.322834,-79.84778,2022-11-01 12:38:36.905,Gray Catbird
43.081276,-77.14955,2022-11-01 12:41:33.123,Gray Catbird
43.081276,-77.14955,2022-11-01 12:41:33.404,Gray Catbird
41.333866,-81.87396,2022-11-01 12:41:41.279,Gray Catbird
