anonymized_latitude,anonymized_longitude,timestamp,species_name
36.89396,-76.49161,2022-11-06 19:59:15.044,Red-Cockaded Woodpecker
37.20115,-76.567154,2022-11-09 11:25:40.625,Red-Cockaded Woodpecker
33.96013,-84.50487,2022-11-11 12:44:51.964,Red-Cockaded Woodpecker
33.96013,-84.50487,2022-11-11 12:45:43.335,Red-Cockaded Woodpecker
33.364044,-84.71536,2022-11-12 15:50:41.863,Red-Cockaded Woodpecker
33.364044,-84.71536,2022-11-12 15:51:19.503,Red-Cockaded Woodpecker
33.364044,-84.71536,2022-11-12 15:51:22.913,Red-Cockaded Woodpecker
33.60141,-82.177795,2022-11-15 15:56:06.063,Red-Cockaded Woodpecker
34.17643,-84.72531,2022-11-16 18:59:42.697,Red-Cockaded Woodpecker
36.25766,-79.80441,2022-11-18 17:17:50.425,Red-Cockaded Woodpecker
35.671005,-78.489746,2022-11-18 19:37:52.905,Red-Cockaded Woodpecker
35.94373,-78.6637,2022-11-19 14:11:41.399,Red-Cockaded Woodpecker
35.71992,-78.649124,2022-11-20 17:21:22.824,Red-Cockaded Woodpecker
33.947353,-84.461334,2022-11-22 13:10:07.165,Red-Cockaded Woodpecker
33.799458,-84.35822,2022-11-22 17:25:48.653,Red-Cockaded Woodpecker
35.434288,-80.522896,2022-11-23 21:41:44.242,Red-Cockaded Woodpecker
36.929512,-76.17254,2022-11-24 14:16:01.797,Red-Cockaded Woodpecker
35.223576,-80.742615,2022-11-24 18:05:34.434,Red-Cockaded Woodpecker
35.92279,-80.31395,2022-11-24 20:28:05.831,Red-Cockaded Woodpecker
36.09403,-79.33011,2022-11-24 21:31:01.296,Red-Cockaded Woodpecker
33.942413,-78.0749,2022-11-25 13:51:18.587,Red-Cockaded Woodpecker
35.552742,-78.74311,2022-11-25 14:00:47.805,Red-Cockaded Woodpecker
33.302227,-87.01158,2022-11-26 13:35:09.386,Red-Cockaded Woodpecker
33.925003,-84.45182,2022-11-27 15:01:19.662,Red-Cockaded Woodpecker
37.246815,-76.78442,2022-11-27 15:01:42.292,Red-Cockaded Woodpecker
33.96013,-84.50487,2022-11-27 15:36:09.474,Red-Cockaded Woodpecker
35.97198,-77.752556,2022-11-27 21:00:48.781,Red-Cockaded Woodpecker
33.853962,-84.37233,2022-11-28 12:01:02.293,Red-Cockaded Woodpecker
35.761806,-78.67994,2022-11-28 15:52:02.128,Red-Cockaded Woodpecker
35.008553,-81.081436,2022-11-28 19:30:52.618,Red-Cockaded Woodpecker
29.980389,-95.52996,2022-11-28 22:15:05.685,Red-Cockaded Woodpecker
35.552742,-78.74311,2022-11-29 16:24:18.108,Red-Cockaded Woodpecker
35.853912,-78.78147,2022-11-30 14:31:45.216,Red-Cockaded Woodpecker
36.116142,-79.13814,2022-11-30 14:52:54.538,Red-Cockaded Woodpecker
33.86773,-84.81452,2022-11-30 15:07:37.428,Red-Cockaded Woodpecker
35.999043,-78.862175,2022-11-30 16:36:46.713,Red-Cockaded Woodpecker
