anonymized_latitude,anonymized_longitude,timestamp,species_name
40.56559,-111.92531,2022-10-27 16:07:43.269,Acorn Woodpecker
36.59531,-121.888,2022-10-30 15:27:48.577,Acorn Woodpecker
36.59531,-121.888,2022-10-30 15:27:49.413,Acorn Woodpecker
36.59531,-121.888,2022-10-30 15:27:49.924,Acorn Woodpecker
36.59531,-121.888,2022-10-30 15:27:50.959,Acorn Woodpecker
36.59531,-121.888,2022-10-30 15:27:52.889,Acorn Woodpecker
36.59531,-121.888,2022-10-30 15:27:53.383,Acorn Woodpecker
36.59531,-121.888,2022-10-30 16:40:08.652,Acorn Woodpecker
36.59531,-121.888,2022-10-30 18:15:54.594,Acorn Woodpecker
36.59531,-121.888,2022-10-30 18:15:57.224,Acorn Woodpecker
36.59531,-121.888,2022-10-31 16:47:48.035,Acorn Woodpecker
36.59531,-121.888,2022-10-31 16:47:49.740,Acorn Woodpecker
36.59531,-121.888,2022-10-31 16:47:51.359,Acorn Woodpecker
36.59531,-121.888,2022-10-31 16:47:51.384,Acorn Woodpecker
36.59531,-121.888,2022-10-31 18:26:59.726,Acorn Woodpecker
36.59531,-121.888,2022-10-31 18:27:00.768,Acorn Woodpecker
36.59531,-121.888,2022-10-31 18:27:01.509,Acorn Woodpecker
36.59531,-121.888,2022-10-31 18:27:05.243,Acorn Woodpecker
36.59531,-121.888,2022-10-31 18:27:05.960,Acorn Woodpecker
36.59531,-121.888,2022-10-31 18:27:06.246,Acorn Woodpecker
36.59531,-121.888,2022-10-31 22:58:51.733,Acorn Woodpecker
36.59531,-121.888,2022-10-31 22:58:53.403,Acorn Woodpecker
36.59531,-121.888,2022-10-31 22:58:55.287,Acorn Woodpecker
36.59531,-121.888,2022-10-31 22:58:55.751,Acorn Woodpecker
