anonymized_latitude,anonymized_longitude,timestamp,species_name
36.98067,-121.87466,2022-10-25 14:38:53.027,California Thrasher
36.98067,-121.87466,2022-10-25 14:38:53.085,California Thrasher
36.98067,-121.87466,2022-10-25 23:38:22.863,California Thrasher
36.98067,-121.87466,2022-10-27 14:40:24.127,California Thrasher
36.98067,-121.87466,2022-10-27 15:41:37.644,California Thrasher
36.98067,-121.87466,2022-10-28 14:48:38.549,California Thrasher
36.98067,-121.87466,2022-10-28 14:48:39.972,California Thrasher
33.781235,-118.04493,2022-10-28 20:33:41.932,California Thrasher
36.98067,-121.87466,2022-10-30 14:37:30.067,California Thrasher
36.98067,-121.87466,2022-10-30 14:37:36.375,California Thrasher
36.98067,-121.87466,2022-10-31 14:54:59.730,California Thrasher
36.98067,-121.87466,2022-10-31 14:55:00.764,California Thrasher
36.98067,-121.87466,2022-10-31 16:46:16.113,California Thrasher
36.98067,-121.87466,2022-10-31 16:46:18.451,California Thrasher
36.98067,-121.87466,2022-10-31 16:46:20.558,California Thrasher
36.98067,-121.87466,2022-10-31 16:46:21.133,California Thrasher
36.98067,-121.87466,2022-10-31 21:02:36.965,California Thrasher
36.98067,-121.87466,2022-10-31 21:02:37.738,California Thrasher
