anonymized_latitude,anonymized_longitude,timestamp,species_name
41.573956,-71.48688,2022-10-24 11:28:11.402,Fox Sparrow
40.041946,-75.09577,2022-10-24 11:40:55.122,Fox Sparrow
42.8479,-87.838776,2022-10-24 13:00:35.745,Fox Sparrow
40.367676,-75.99112,2022-10-24 14:43:05.772,Fox Sparrow
30.237278,-95.58644,2022-10-24 16:13:17.001,Fox Sparrow
41.335773,-73.13721,2022-10-24 16:31:30.122,Fox Sparrow
40.796005,-73.18682,2022-10-24 17:01:41.939,Fox Sparrow
40.56559,-111.92531,2022-10-24 19:16:12.544,Fox Sparrow
38.04748,-87.57094,2022-10-24 19:42:01.236,Fox Sparrow
38.04748,-87.57094,2022-10-24 19:42:03.147,Fox Sparrow
45.433704,-75.751564,2022-10-24 19:44:08.005,Fox Sparrow
38.894665,-77.328476,2022-10-24 20:01:14.093,Fox Sparrow
42.349842,-83.36945,2022-10-24 20:47:55.836,Fox Sparrow
40.611763,-74.39042,2022-10-24 21:08:41.202,Fox Sparrow
42.909447,-71.06229,2022-10-24 21:17:21.429,Fox Sparrow
40.337612,-75.19623,2022-10-24 21:30:49.371,Fox Sparrow
42.349842,-83.36945,2022-10-25 12:50:39.758,Fox Sparrow
42.8479,-87.838776,2022-10-25 13:02:53.017,Fox Sparrow
42.457943,-83.15421,2022-10-25 13:40:42.509,Fox Sparrow
41.68299,-71.51697,2022-10-25 13:52:43.849,Fox Sparrow
43.072838,-89.3784,2022-10-25 14:19:42.028,Fox Sparrow
39.011707,-94.64606,2022-10-25 14:49:15.983,Fox Sparrow
43.500576,-70.774765,2022-10-25 15:00:09.558,Fox Sparrow
45.44664,-121.54518,2022-10-25 17:52:32.624,Fox Sparrow
41.944946,-87.94807,2022-10-25 19:58:46.836,Fox Sparrow
40.846302,-72.796,2022-10-25 20:59:32.486,Fox Sparrow
42.580788,-83.29788,2022-10-25 21:35:40.935,Fox Sparrow
34.021633,-118.20951,2022-10-26 00:39:59.125,Fox Sparrow
38.212364,-85.709625,2022-10-26 12:19:59.211,Fox Sparrow
40.552326,-80.33905,2022-10-26 12:31:50.446,Fox Sparrow
41.136322,-73.570854,2022-10-26 14:46:01.793,Fox Sparrow
38.04748,-87.57094,2022-10-26 17:47:05.288,Fox Sparrow
38.04748,-87.57094,2022-10-26 17:47:06.905,Fox Sparrow
44.98212,-92.917244,2022-10-26 17:57:29.139,Fox Sparrow
40.832256,-82.54916,2022-10-26 18:41:26.848,Fox Sparrow
40.611763,-74.39042,2022-10-26 19:24:58.900,Fox Sparrow
40.611763,-74.39042,2022-10-26 19:24:59.353,Fox Sparrow
40.611763,-74.39042,2022-10-26 19:30:11.250,Fox Sparrow
42.928112,-71.538605,2022-10-26 20:13:38.614,Fox Sparrow
42.309444,-83.05963,2022-10-26 22:01:23.009,Fox Sparrow
38.04748,-87.57094,2022-10-26 22:22:03.289,Fox Sparrow
45.550922,-122.61793,2022-10-26 22:24:54.883,Fox Sparrow
39.011707,-94.64606,2022-10-26 22:32:47.090,Fox Sparrow
48.001007,-122.26354,2022-10-26 23:15:10.532,Fox Sparrow
42.37595,-83.38065,2022-10-27 12:56:18.146,Fox Sparrow
43.21399,-77.58972,2022-10-27 15:53:37.065,Fox Sparrow
40.011997,-86.05722,2022-10-27 17:00:54.727,Fox Sparrow
