anonymized_latitude,anonymized_longitude,timestamp,species_name
41.493706,-87.03019,2023-01-20 15:10:05.091,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.05504,-91.69139,2023-01-20 19:38:36.064,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.735493,-73.10052,2023-01-20 20:21:10.036,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.6321,-70.804825,2023-01-21 16:28:56.773,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.92854,-72.401245,2023-01-21 20:28:27.942,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.559708,-75.73708,2023-01-22 16:38:03.879,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
38.773666,-90.357216,2023-01-22 21:58:33.397,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
38.42873,-91.06899,2023-01-23 22:22:00.232,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
38.95439,-76.416275,2023-01-25 17:07:08.874,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
44.744305,-94.96306,2023-01-27 13:56:04.922,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
44.671677,-73.011765,2023-01-29 16:10:06.711,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
44.671677,-73.011765,2023-01-29 19:31:29.640,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.732605,-78.759926,2023-01-30 17:43:35.279,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.205437,-73.81323,2023-01-31 17:01:48.918,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.70803,-74.23448,2023-01-10 14:55:30.052,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.70803,-74.23448,2023-01-10 14:55:32.274,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.040905,-87.63817,2023-01-11 15:08:27.947,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.493298,-73.50424,2023-01-12 16:11:05.981,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
44.56332,-68.4972,2023-01-13 14:31:10.738,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.203514,-80.48367,2023-01-15 20:07:15.153,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
39.770782,-94.721565,2023-01-15 20:25:33.807,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
34.877075,-82.544785,2023-01-15 21:12:37.415,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.415115,-72.91489,2023-01-16 14:12:27.910,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
38.731693,-89.93245,2023-01-16 18:05:38.320,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
38.716507,-90.75911,2023-01-17 14:33:13.560,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.807262,-72.623405,2023-01-17 17:55:20.781,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
38.921753,-77.05718,2023-01-18 17:10:50.384,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
40.113583,-74.97167,2023-01-18 18:01:46.639,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
35.87003,-83.89314,2023-01-18 20:48:45.597,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
39.797356,-74.95271,2023-01-19 13:09:12.157,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.25161,-72.61868,2023-01-19 19:55:49.743,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.645508,-72.01486,2023-01-03 17:52:27.747,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
43.04457,-85.0963,2023-01-03 17:56:29.652,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.242615,-84.29173,2023-01-03 18:06:58.659,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.639996,-73.47442,2023-01-03 18:27:06.873,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.639996,-73.47442,2023-01-03 18:27:08.890,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
35.531116,-82.510315,2023-01-03 19:01:16.349,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.172203,-71.56744,2023-01-04 14:53:07.676,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
44.7535,-63.793156,2023-01-04 16:34:41.498,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.681587,-82.98641,2023-01-04 17:41:53.221,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.205437,-73.81323,2023-01-04 20:00:58.127,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
46.502617,-95.12044,2023-01-04 22:15:21.813,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
35.531116,-82.510315,2023-01-06 16:45:20.768,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.27731,-71.70891,2023-01-06 20:59:43.513,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
40.384,-77.0011,2023-01-07 14:22:17.229,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
44.486267,-72.99968,2023-01-07 17:23:10.910,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
41.22917,-73.30131,2023-01-08 17:24:27.437,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
42.93352,-77.43328,2023-01-09 17:55:44.552,"Black-Capped Chickadee,Rose-Breasted Grosbeak"
