anonymized_latitude,anonymized_longitude,timestamp,species_name
38.602917,-76.99558,2023-01-20 12:27:45.935,"Brown-Headed Cowbird,Feral Pigeon"
38.921753,-77.05718,2023-01-20 19:21:12.418,"Brown-Headed Cowbird,Feral Pigeon"
39.742905,-86.19291,2023-01-20 21:08:40.500,"Brown-Headed Cowbird,Feral Pigeon"
32.729298,-97.48685,2023-01-20 22:53:32.901,"Brown-Headed Cowbird,Feral Pigeon"
36.82664,-76.24812,2023-01-21 13:37:47.502,"Brown-Headed Cowbird,Feral Pigeon"
38.597366,-90.50026,2023-01-22 20:42:18.061,"Brown-Headed Cowbird,Feral Pigeon"
39.133717,-76.67055,2023-01-23 16:15:14.606,"Brown-Headed Cowbird,Feral Pigeon"
41.273533,-85.15004,2023-01-23 19:03:34.232,"Brown-Headed Cowbird,Feral Pigeon"
43.208973,-79.556114,2023-01-24 20:27:30.943,"Brown-Headed Cowbird,Feral Pigeon"
36.193676,-86.78061,2023-01-24 21:09:04.407,"Brown-Headed Cowbird,Feral Pigeon"
28.932655,-95.23055,2023-01-24 22:19:07.902,"Brown-Headed Cowbird,Feral Pigeon"
38.602917,-76.99558,2023-01-25 12:49:37.559,"Brown-Headed Cowbird,Feral Pigeon"
32.854042,-96.649185,2023-01-25 14:25:10.430,"Brown-Headed Cowbird,Feral Pigeon"
41.34164,-89.10412,2023-01-25 14:44:18.828,"Brown-Headed Cowbird,Feral Pigeon"
38.602917,-76.99558,2023-01-25 15:26:54.828,"Brown-Headed Cowbird,Feral Pigeon"
39.53295,-75.74371,2023-01-25 18:08:25.482,"Brown-Headed Cowbird,Feral Pigeon"
39.36006,-84.59185,2023-01-26 13:13:01.698,"Brown-Headed Cowbird,Feral Pigeon"
30.454185,-90.92167,2023-01-26 14:07:43.459,"Brown-Headed Cowbird,Feral Pigeon"
40.737198,-73.44133,2023-01-26 20:29:19.613,"Brown-Headed Cowbird,Feral Pigeon"
40.389774,-75.83728,2023-01-27 18:57:51.775,"Brown-Headed Cowbird,Feral Pigeon"
39.07648,-74.79245,2023-01-27 19:34:18.023,"Brown-Headed Cowbird,Feral Pigeon"
38.86157,-76.60037,2023-01-28 18:03:34.036,"Brown-Headed Cowbird,Feral Pigeon"
32.59033,-97.5931,2023-01-29 15:51:52.447,"Brown-Headed Cowbird,Feral Pigeon"
33.196014,-97.041824,2023-01-29 21:26:28.220,"Brown-Headed Cowbird,Feral Pigeon"
32.729298,-97.48685,2023-01-29 22:55:02.475,"Brown-Headed Cowbird,Feral Pigeon"
26.099707,-80.18641,2023-01-30 12:19:06.270,"Brown-Headed Cowbird,Feral Pigeon"
35.785397,-78.358665,2023-01-30 13:41:16.807,"Brown-Headed Cowbird,Feral Pigeon"
36.82664,-76.24812,2023-01-30 15:09:19.062,"Brown-Headed Cowbird,Feral Pigeon"
38.987904,-76.36922,2023-01-30 16:24:59.570,"Brown-Headed Cowbird,Feral Pigeon"
35.999043,-78.862175,2023-01-30 19:39:33.706,"Brown-Headed Cowbird,Feral Pigeon"
34.238777,-84.388245,2023-01-31 13:07:24.120,"Brown-Headed Cowbird,Feral Pigeon"
33.009678,-97.0991,2023-01-31 14:19:43.206,"Brown-Headed Cowbird,Feral Pigeon"
39.587944,-75.88031,2023-01-10 13:14:31.688,"Brown-Headed Cowbird,Feral Pigeon"
36.193676,-86.78061,2023-01-10 21:52:12.378,"Brown-Headed Cowbird,Feral Pigeon"
36.309227,-86.77208,2023-01-11 14:23:33.587,"Brown-Headed Cowbird,Feral Pigeon"
42.040905,-87.63817,2023-01-11 14:26:07.110,"Brown-Headed Cowbird,Feral Pigeon"
40.756447,-73.446106,2023-01-12 16:04:40.625,"Brown-Headed Cowbird,Feral Pigeon"
26.336233,-80.168,2023-01-12 18:59:04.042,"Brown-Headed Cowbird,Feral Pigeon"
36.309227,-86.77208,2023-01-12 21:19:34.937,"Brown-Headed Cowbird,Feral Pigeon"
40.606815,-74.63466,2023-01-13 13:53:06.438,"Brown-Headed Cowbird,Feral Pigeon"
39.93822,-75.84126,2023-01-13 14:49:26.260,"Brown-Headed Cowbird,Feral Pigeon"
39.709324,-75.81339,2023-01-13 15:51:41.213,"Brown-Headed Cowbird,Feral Pigeon"
36.799473,-76.02942,2023-01-13 19:00:49.629,"Brown-Headed Cowbird,Feral Pigeon"
36.799473,-76.02942,2023-01-13 19:00:51.604,"Brown-Headed Cowbird,Feral Pigeon"
39.91696,-75.203735,2023-01-13 19:28:51.974,"Brown-Headed Cowbird,Feral Pigeon"
38.67735,-90.35395,2023-01-13 20:43:59.958,"Brown-Headed Cowbird,Feral Pigeon"
40.081635,-76.236916,2023-01-14 18:10:31.533,"Brown-Headed Cowbird,Feral Pigeon"
40.019478,-85.984726,2023-01-14 19:58:48.446,"Brown-Headed Cowbird,Feral Pigeon"
35.90281,-86.62518,2023-01-15 14:46:01.628,"Brown-Headed Cowbird,Feral Pigeon"
39.899673,-75.72545,2023-01-15 19:28:42.929,"Brown-Headed Cowbird,Feral Pigeon"
40.552326,-80.33905,2023-01-15 19:32:18.618,"Brown-Headed Cowbird,Feral Pigeon"
39.155937,-76.920006,2023-01-15 21:32:44.027,"Brown-Headed Cowbird,Feral Pigeon"
39.99058,-86.03235,2023-01-16 17:36:58.499,"Brown-Headed Cowbird,Feral Pigeon"
39.299755,-76.82806,2023-01-16 20:10:01.813,"Brown-Headed Cowbird,Feral Pigeon"
39.880802,-74.719894,2023-01-17 13:09:46.995,"Brown-Headed Cowbird,Feral Pigeon"
39.14437,-87.38556,2023-01-17 14:09:05.852,"Brown-Headed Cowbird,Feral Pigeon"
41.660515,-83.52859,2023-01-17 15:27:34.328,"Brown-Headed Cowbird,Feral Pigeon"
42.730106,-89.01576,2023-01-17 19:08:25.438,"Brown-Headed Cowbird,Feral Pigeon"
40.785046,-81.43351,2023-01-17 19:11:41.803,"Brown-Headed Cowbird,Feral Pigeon"
36.7423,-76.656555,2023-01-17 19:12:27.355,"Brown-Headed Cowbird,Feral Pigeon"
38.95439,-76.416275,2023-01-18 14:38:54.437,"Brown-Headed Cowbird,Feral Pigeon"
39.905758,-82.828354,2023-01-18 19:14:18.915,"Brown-Headed Cowbird,Feral Pigeon"
26.336233,-80.168,2023-01-18 20:30:33.591,"Brown-Headed Cowbird,Feral Pigeon"
29.891281,-95.88707,2023-01-19 13:54:03.729,"Brown-Headed Cowbird,Feral Pigeon"
40.662266,-77.57319,2023-01-19 16:27:38.950,"Brown-Headed Cowbird,Feral Pigeon"
42.433617,-82.812386,2023-01-19 17:17:40.243,"Brown-Headed Cowbird,Feral Pigeon"
40.404453,-79.90786,2023-01-19 18:37:05.649,"Brown-Headed Cowbird,Feral Pigeon"
39.7125,-86.4446,2023-01-19 18:41:03.015,"Brown-Headed Cowbird,Feral Pigeon"
38.602917,-76.99558,2023-01-19 19:01:47.552,"Brown-Headed Cowbird,Feral Pigeon"
38.602917,-76.99558,2023-01-19 19:01:47.786,"Brown-Headed Cowbird,Feral Pigeon"
40.80024,-73.42543,2023-01-19 19:28:59.687,"Brown-Headed Cowbird,Feral Pigeon"
40.680428,-73.64557,2023-01-01 20:55:40.991,"Brown-Headed Cowbird,Feral Pigeon"
43.12596,-79.56869,2023-01-02 17:00:56.692,"Brown-Headed Cowbird,Feral Pigeon"
34.274044,-84.53139,2023-01-02 20:12:05.029,"Brown-Headed Cowbird,Feral Pigeon"
35.787224,-86.497574,2023-01-03 13:33:49.994,"Brown-Headed Cowbird,Feral Pigeon"
35.20646,-85.20782,2023-01-03 16:56:59.224,"Brown-Headed Cowbird,Feral Pigeon"
41.34164,-89.10412,2023-01-04 15:12:41.913,"Brown-Headed Cowbird,Feral Pigeon"
43.777134,-83.23007,2023-01-04 18:19:39.606,"Brown-Headed Cowbird,Feral Pigeon"
34.233437,-77.84683,2023-01-04 18:30:56.038,"Brown-Headed Cowbird,Feral Pigeon"
41.85668,-72.252266,2023-01-04 18:31:03.928,"Brown-Headed Cowbird,Feral Pigeon"
30.012657,-95.61937,2023-01-05 13:31:52.854,"Brown-Headed Cowbird,Feral Pigeon"
