anonymized_latitude,anonymized_longitude,timestamp,species_name
32.667572,-116.99913,2023-01-22 18:34:40.864,"California Thrasher,House Finch"
33.171272,-117.20999,2023-01-24 14:57:47.698,"California Thrasher,House Finch"
36.973454,-121.502846,2023-01-26 15:35:26.866,"California Thrasher,House Finch"
34.44085,-118.51234,2023-01-31 23:19:13.500,"California Thrasher,House Finch"
37.712208,-122.13159,2023-01-11 16:52:50.316,"California Thrasher,House Finch"
34.058933,-118.33138,2023-01-11 18:35:18.297,"California Thrasher,House Finch"
34.391678,-119.94204,2023-01-12 16:14:58.310,"California Thrasher,House Finch"
34.124695,-118.38041,2023-01-19 22:59:37.217,"California Thrasher,House Finch"
34.124695,-118.38041,2023-01-19 22:59:38.444,"California Thrasher,House Finch"
37.942715,-122.22277,2023-01-03 20:33:20.916,"California Thrasher,House Finch"
33.22008,-117.327324,2023-01-06 23:59:53.305,"California Thrasher,House Finch"
34.12858,-118.33488,2023-01-09 17:09:28.037,"California Thrasher,House Finch"
33.695927,-117.88081,2023-01-09 22:16:05.151,"California Thrasher,House Finch"
