anonymized_latitude,anonymized_longitude,timestamp,species_name
41.084095,-112.13469,2023-01-20 00:11:33.989,Chipping Sparrow
40.39528,-74.587326,2023-01-20 12:25:30.095,Chipping Sparrow
36.59776,-76.17892,2023-01-20 12:28:13.222,Chipping Sparrow
36.59776,-76.17892,2023-01-20 12:28:13.707,Chipping Sparrow
34.5978,-77.90523,2023-01-20 12:29:26.460,Chipping Sparrow
34.5978,-77.90523,2023-01-20 12:29:26.466,Chipping Sparrow
36.04958,-78.43363,2023-01-20 12:29:35.589,Chipping Sparrow
34.68516,-77.46478,2023-01-20 12:34:44.243,Chipping Sparrow
30.649096,-81.55996,2023-01-20 12:35:42.541,Chipping Sparrow
30.649096,-81.55996,2023-01-20 12:35:42.652,Chipping Sparrow
35.947777,-78.54703,2023-01-20 12:37:15.891,Chipping Sparrow
30.489126,-84.19957,2023-01-20 12:37:18.474,Chipping Sparrow
30.489126,-84.19957,2023-01-20 12:37:19.193,Chipping Sparrow
34.979416,-80.87135,2023-01-20 12:37:46.690,Chipping Sparrow
35.225067,-79.36102,2023-01-20 12:38:41.640,Chipping Sparrow
37.45958,-77.44563,2023-01-20 12:39:24.172,Chipping Sparrow
32.89268,-79.84119,2023-01-20 12:39:38.422,Chipping Sparrow
32.89268,-79.84119,2023-01-20 12:39:39.106,Chipping Sparrow
32.89268,-79.84119,2023-01-20 12:39:39.123,Chipping Sparrow
32.89268,-79.84119,2023-01-20 12:39:39.199,Chipping Sparrow
35.65466,-78.33407,2023-01-20 12:39:54.387,Chipping Sparrow
35.65466,-78.33407,2023-01-20 12:39:54.853,Chipping Sparrow
35.65466,-78.33407,2023-01-20 12:39:54.918,Chipping Sparrow
32.20307,-82.93016,2023-01-20 12:40:47.686,Chipping Sparrow
33.533443,-82.070786,2023-01-20 12:41:17.487,Chipping Sparrow
35.89179,-78.99638,2023-01-20 12:41:43.571,Chipping Sparrow
32.79543,-80.10396,2023-01-20 12:42:50.797,Chipping Sparrow
34.35112,-82.5381,2023-01-20 12:43:21.944,Chipping Sparrow
34.35112,-82.5381,2023-01-20 12:43:22.004,Chipping Sparrow
34.35112,-82.5381,2023-01-20 12:43:24.540,Chipping Sparrow
34.35112,-82.5381,2023-01-20 12:43:24.585,Chipping Sparrow
33.763027,-84.32912,2023-01-20 12:43:48.867,Chipping Sparrow
33.763027,-84.32912,2023-01-20 12:43:48.897,Chipping Sparrow
33.763027,-84.32912,2023-01-20 12:43:48.914,Chipping Sparrow
33.36752,-84.51879,2023-01-20 12:43:55.342,Chipping Sparrow
33.36752,-84.51879,2023-01-20 12:43:55.735,Chipping Sparrow
35.853912,-78.78147,2023-01-20 12:44:16.300,Chipping Sparrow
35.853912,-78.78147,2023-01-20 12:44:17.893,Chipping Sparrow
35.853912,-78.78147,2023-01-20 12:44:19.381,Chipping Sparrow
36.09403,-79.33011,2023-01-20 12:45:16.729,Chipping Sparrow
33.47754,-80.05947,2023-01-20 12:46:09.664,Chipping Sparrow
33.47754,-80.05947,2023-01-20 12:46:09.807,Chipping Sparrow
33.841263,-81.23874,2023-01-20 12:46:22.069,Chipping Sparrow
33.841263,-81.23874,2023-01-20 12:46:22.162,Chipping Sparrow
32.925728,-80.114006,2023-01-20 12:46:25.239,Chipping Sparrow
36.542828,-79.417885,2023-01-20 12:46:35.144,Chipping Sparrow
33.672455,-84.37373,2023-01-20 12:47:06.025,Chipping Sparrow
33.672455,-84.37373,2023-01-20 12:47:07.831,Chipping Sparrow
34.52636,-79.19309,2023-01-20 12:47:13.002,Chipping Sparrow
34.52636,-79.19309,2023-01-20 12:47:13.046,Chipping Sparrow
34.69218,-77.35132,2023-01-20 12:47:15.859,Chipping Sparrow
34.69218,-77.35132,2023-01-20 12:47:16.788,Chipping Sparrow
33.976273,-77.83811,2023-01-20 12:47:43.901,Chipping Sparrow
33.976273,-77.83811,2023-01-20 12:47:43.940,Chipping Sparrow
33.976273,-77.83811,2023-01-20 12:47:47.040,Chipping Sparrow
33.976273,-77.83811,2023-01-20 12:47:47.076,Chipping Sparrow
34.450256,-79.700386,2023-01-20 12:49:21.427,Chipping Sparrow
35.947777,-78.54703,2023-01-20 12:49:35.406,Chipping Sparrow
35.05915,-77.007126,2023-01-20 12:50:05.834,Chipping Sparrow
35.05915,-77.007126,2023-01-20 12:50:05.995,Chipping Sparrow
33.8072,-84.348785,2023-01-20 12:50:10.019,Chipping Sparrow
32.797092,-79.877945,2023-01-20 12:51:04.845,Chipping Sparrow
35.6751,-78.67065,2023-01-20 12:51:26.452,Chipping Sparrow
35.853912,-78.78147,2023-01-20 12:51:36.397,Chipping Sparrow
35.853912,-78.78147,2023-01-20 12:51:38.056,Chipping Sparrow
30.685017,-86.59933,2023-01-20 12:52:07.075,Chipping Sparrow
30.685017,-86.59933,2023-01-20 12:52:07.394,Chipping Sparrow
31.762877,-85.837776,2023-01-20 12:52:12.107,Chipping Sparrow
35.89179,-78.99638,2023-01-20 12:52:34.258,Chipping Sparrow
35.89179,-78.99638,2023-01-20 12:52:34.335,Chipping Sparrow
34.68516,-77.46478,2023-01-20 12:53:05.238,Chipping Sparrow
32.3187,-80.89944,2023-01-20 12:53:28.813,Chipping Sparrow
35.086647,-81.119736,2023-01-20 12:53:41.811,Chipping Sparrow
35.086647,-81.119736,2023-01-20 12:53:43.019,Chipping Sparrow
35.748306,-78.30766,2023-01-20 12:54:41.701,Chipping Sparrow
35.765903,-78.96037,2023-01-20 12:55:18.135,Chipping Sparrow
35.765903,-78.96037,2023-01-20 12:55:18.840,Chipping Sparrow
35.765903,-78.96037,2023-01-20 12:55:18.895,Chipping Sparrow
35.765903,-78.96037,2023-01-20 12:55:19.171,Chipping Sparrow
33.77674,-83.61617,2023-01-20 12:55:42.266,Chipping Sparrow
33.77674,-83.61617,2023-01-20 12:55:42.339,Chipping Sparrow
33.77674,-83.61617,2023-01-20 12:55:42.430,Chipping Sparrow
33.77674,-83.61617,2023-01-20 12:55:42.620,Chipping Sparrow
33.77674,-83.61617,2023-01-20 12:55:42.649,Chipping Sparrow
33.36937,-86.76102,2023-01-20 12:56:05.694,Chipping Sparrow
33.36937,-86.76102,2023-01-20 12:56:06.506,Chipping Sparrow
33.36937,-86.76102,2023-01-20 12:56:07.226,Chipping Sparrow
33.36937,-86.76102,2023-01-20 12:56:07.672,Chipping Sparrow
32.245293,-86.10873,2023-01-20 12:56:21.521,Chipping Sparrow
32.245293,-86.10873,2023-01-20 12:56:21.798,Chipping Sparrow
35.752968,-78.807785,2023-01-20 12:56:52.196,Chipping Sparrow
35.752968,-78.807785,2023-01-20 12:56:52.342,Chipping Sparrow
35.752968,-78.807785,2023-01-20 12:56:53.597,Chipping Sparrow
35.752968,-78.807785,2023-01-20 12:56:53.631,Chipping Sparrow
35.752968,-78.807785,2023-01-20 12:56:53.704,Chipping Sparrow
33.3326,-86.797195,2023-01-20 12:56:57.811,Chipping Sparrow
33.3326,-86.797195,2023-01-20 12:57:00.267,Chipping Sparrow
33.3326,-86.797195,2023-01-20 12:57:00.420,Chipping Sparrow
33.3326,-86.797195,2023-01-20 12:57:00.448,Chipping Sparrow
33.467537,-80.803116,2023-01-20 12:57:58.099,Chipping Sparrow
33.467537,-80.803116,2023-01-20 12:57:58.638,Chipping Sparrow
33.467537,-80.803116,2023-01-20 12:57:59.290,Chipping Sparrow
33.467537,-80.803116,2023-01-20 12:57:59.797,Chipping Sparrow
32.894077,-80.73461,2023-01-20 12:58:16.697,Chipping Sparrow
32.894077,-80.73461,2023-01-20 12:58:18.776,Chipping Sparrow
32.894077,-80.73461,2023-01-20 12:58:19.894,Chipping Sparrow
32.894077,-80.73461,2023-01-20 12:58:19.974,Chipping Sparrow
32.894077,-80.73461,2023-01-20 12:58:20.197,Chipping Sparrow
30.803732,-85.47685,2023-01-20 12:58:22.472,Chipping Sparrow
30.803732,-85.47685,2023-01-20 12:58:22.479,Chipping Sparrow
30.803732,-85.47685,2023-01-20 12:58:22.904,Chipping Sparrow
30.803732,-85.47685,2023-01-20 12:58:22.907,Chipping Sparrow
30.803732,-85.47685,2023-01-20 12:58:23.559,Chipping Sparrow
40.237694,-75.06801,2023-01-20 12:58:52.980,Chipping Sparrow
32.808445,-80.04754,2023-01-20 13:00:06.867,Chipping Sparrow
35.7675,-80.001305,2023-01-20 13:00:07.632,Chipping Sparrow
34.400402,-82.93639,2023-01-20 13:00:21.345,Chipping Sparrow
34.400402,-82.93639,2023-01-20 13:00:22.339,Chipping Sparrow
32.47014,-80.72135,2023-01-20 13:01:24.565,Chipping Sparrow
32.438976,-84.97333,2023-01-20 13:01:49.003,Chipping Sparrow
32.438976,-84.97333,2023-01-20 13:01:49.849,Chipping Sparrow
32.438976,-84.97333,2023-01-20 13:01:50.303,Chipping Sparrow
35.761806,-78.67994,2023-01-20 13:02:03.130,Chipping Sparrow
35.479645,-79.07543,2023-01-20 13:02:37.481,Chipping Sparrow
33.919437,-81.215034,2023-01-20 13:03:27.126,Chipping Sparrow
32.797092,-79.877945,2023-01-20 13:03:31.089,Chipping Sparrow
32.797092,-79.877945,2023-01-20 13:03:31.810,Chipping Sparrow
32.797092,-79.877945,2023-01-20 13:03:32.379,Chipping Sparrow
33.978123,-81.48595,2023-01-20 13:03:50.828,Chipping Sparrow
33.978123,-81.48595,2023-01-20 13:03:50.868,Chipping Sparrow
33.759426,-84.5086,2023-01-20 13:04:42.631,Chipping Sparrow
33.759426,-84.5086,2023-01-20 13:04:42.629,Chipping Sparrow
33.759426,-84.5086,2023-01-20 13:04:43.397,Chipping Sparrow
33.759426,-84.5086,2023-01-20 13:04:43.485,Chipping Sparrow
33.759426,-84.5086,2023-01-20 13:04:43.742,Chipping Sparrow
33.759426,-84.5086,2023-01-20 13:04:43.749,Chipping Sparrow
32.955017,-80.49091,2023-01-20 13:05:40.915,Chipping Sparrow
33.960964,-84.377716,2023-01-20 13:05:44.732,Chipping Sparrow
33.960964,-84.377716,2023-01-20 13:05:45.117,Chipping Sparrow
35.086647,-81.119736,2023-01-20 13:05:59.643,Chipping Sparrow
34.365116,-77.71121,2023-01-20 13:06:03.850,Chipping Sparrow
34.365116,-77.71121,2023-01-20 13:06:04.543,Chipping Sparrow
33.88103,-84.57674,2023-01-20 13:06:39.453,Chipping Sparrow
33.88103,-84.57674,2023-01-20 13:06:40.288,Chipping Sparrow
35.745792,-79.77657,2023-01-20 13:06:43.459,Chipping Sparrow
31.125887,-87.15525,2023-01-20 13:06:48.841,Chipping Sparrow
30.523651,-87.11438,2023-01-20 13:07:11.535,Chipping Sparrow
31.000072,-87.11266,2023-01-20 13:07:42.670,Chipping Sparrow
31.000072,-87.11266,2023-01-20 13:07:42.765,Chipping Sparrow
31.000072,-87.11266,2023-01-20 13:07:42.774,Chipping Sparrow
31.000072,-87.11266,2023-01-20 13:07:43.612,Chipping Sparrow
31.000072,-87.11266,2023-01-20 13:07:43.965,Chipping Sparrow
31.000072,-87.11266,2023-01-20 13:07:44.059,Chipping Sparrow
31.000072,-87.11266,2023-01-20 13:07:44.080,Chipping Sparrow
33.763027,-84.32912,2023-01-20 13:08:07.442,Chipping Sparrow
33.763027,-84.32912,2023-01-20 13:08:09.113,Chipping Sparrow
35.841534,-78.99524,2023-01-20 13:08:26.708,Chipping Sparrow
35.841534,-78.99524,2023-01-20 13:08:26.728,Chipping Sparrow
35.841534,-78.99524,2023-01-20 13:08:28.622,Chipping Sparrow
35.841534,-78.99524,2023-01-20 13:08:29.178,Chipping Sparrow
35.529877,-81.16974,2023-01-20 13:08:31.430,Chipping Sparrow
35.529877,-81.16974,2023-01-20 13:08:32.972,Chipping Sparrow
35.529877,-81.16974,2023-01-20 13:08:33.705,Chipping Sparrow
35.868618,-83.61092,2023-01-20 13:09:31.482,Chipping Sparrow
35.868618,-83.61092,2023-01-20 13:09:31.763,Chipping Sparrow
35.868618,-83.61092,2023-01-20 13:09:32.758,Chipping Sparrow
33.36435,-86.7676,2023-01-20 13:09:54.533,Chipping Sparrow
30.393785,-91.18349,2023-01-20 13:10:05.395,Chipping Sparrow
30.603668,-86.48816,2023-01-20 13:12:11.736,Chipping Sparrow
