anonymized_latitude,anonymized_longitude,timestamp,species_name
38.96441,-84.470116,2023-01-20 17:02:36.943,"Common Redpoll,Northern Cardinal"
42.681587,-82.98641,2023-01-21 15:22:55.796,"Common Redpoll,Northern Cardinal"
42.544186,-82.94887,2023-01-22 17:30:17.305,"Common Redpoll,Northern Cardinal"
39.722588,-77.01516,2023-01-23 15:57:08.784,"Common Redpoll,Northern Cardinal"
42.681587,-82.98641,2023-01-23 16:01:49.363,"Common Redpoll,Northern Cardinal"
45.151253,-93.30091,2023-01-23 16:26:35.636,"Common Redpoll,Northern Cardinal"
41.15244,-80.73768,2023-01-23 20:16:05.178,"Common Redpoll,Northern Cardinal"
41.07078,-72.453125,2023-01-30 15:13:50.051,"Common Redpoll,Northern Cardinal"
38.711197,-90.77824,2023-01-30 21:15:31.449,"Common Redpoll,Northern Cardinal"
39.168102,-84.4717,2023-01-31 15:01:23.883,"Common Redpoll,Northern Cardinal"
