anonymized_latitude,anonymized_longitude,timestamp,species_name
40.850216,-76.20988,2023-01-20 16:21:46.611,"Common Starling,House Finch"
40.850216,-76.20988,2023-01-20 16:21:46.675,"Common Starling,House Finch"
40.067947,-82.92305,2023-01-20 16:55:23.560,"Common Starling,House Finch"
40.092342,-83.030396,2023-01-20 17:29:00.283,"Common Starling,House Finch"
37.80853,-97.83331,2023-01-20 20:36:21.216,"Common Starling,House Finch"
44.887054,-89.60293,2023-01-20 20:55:56.407,"Common Starling,House Finch"
38.87909,-77.206604,2023-01-21 14:59:12.414,"Common Starling,House Finch"
40.599884,-74.36232,2023-01-21 15:22:58.799,"Common Starling,House Finch"
32.88424,-117.12675,2023-01-21 19:35:41.782,"Common Starling,House Finch"
36.04883,-86.77405,2023-01-22 13:56:50.253,"Common Starling,House Finch"
39.298145,-84.39132,2023-01-22 21:04:11.275,"Common Starling,House Finch"
39.967594,-82.93537,2023-01-23 14:19:11.913,"Common Starling,House Finch"
38.600002,-121.50891,2023-01-23 18:56:01.787,"Common Starling,House Finch"
30.356682,-97.79944,2023-01-23 23:30:22.565,"Common Starling,House Finch"
38.826,-94.3053,2023-01-24 15:16:58.383,"Common Starling,House Finch"
30.109808,-97.906334,2023-01-24 17:10:20.085,"Common Starling,House Finch"
35.16912,-97.49089,2023-01-24 19:26:36.929,"Common Starling,House Finch"
38.191776,-85.66987,2023-01-24 20:43:44.931,"Common Starling,House Finch"
38.511803,-90.266685,2023-01-24 21:45:02.397,"Common Starling,House Finch"
38.511803,-90.266685,2023-01-24 21:45:04.312,"Common Starling,House Finch"
27.678621,-81.56441,2023-01-25 15:47:10.745,"Common Starling,House Finch"
39.299755,-76.82806,2023-01-25 18:13:00.610,"Common Starling,House Finch"
32.34455,-89.96797,2023-01-25 20:39:51.247,"Common Starling,House Finch"
33.058823,-96.08457,2023-01-25 20:50:23.020,"Common Starling,House Finch"
36.453663,-86.85048,2023-01-26 16:40:28.650,"Common Starling,House Finch"
34.186615,-118.13197,2023-01-26 16:40:38.351,"Common Starling,House Finch"
34.186615,-118.13197,2023-01-26 16:40:39.273,"Common Starling,House Finch"
39.37997,-74.66023,2023-01-26 19:18:34.072,"Common Starling,House Finch"
37.845325,-97.2146,2023-01-26 22:41:22.977,"Common Starling,House Finch"
39.710243,-75.191475,2023-01-27 14:49:49.969,"Common Starling,House Finch"
38.511803,-90.266685,2023-01-27 16:16:34.476,"Common Starling,House Finch"
38.696514,-90.533966,2023-01-27 16:25:24.625,"Common Starling,House Finch"
36.112545,-86.58222,2023-01-28 19:11:01.628,"Common Starling,House Finch"
32.667572,-116.99913,2023-01-29 17:27:05.478,"Common Starling,House Finch"
41.229855,-111.91864,2023-01-29 17:51:25.301,"Common Starling,House Finch"
47.587284,-122.41117,2023-01-29 21:35:54.269,"Common Starling,House Finch"
35.619537,-97.659996,2023-01-30 14:39:14.587,"Common Starling,House Finch"
32.665604,-97.40335,2023-01-31 14:45:17.051,"Common Starling,House Finch"
40.07086,-85.63507,2023-01-31 17:55:00.596,"Common Starling,House Finch"
32.956635,-96.627396,2023-01-31 18:03:39.255,"Common Starling,House Finch"
32.877293,-96.853455,2023-01-10 13:57:48.191,"Common Starling,House Finch"
40.850216,-76.20988,2023-01-10 14:33:55.071,"Common Starling,House Finch"
39.15317,-76.65696,2023-01-10 16:13:44.227,"Common Starling,House Finch"
34.23257,-119.242004,2023-01-10 16:25:03.303,"Common Starling,House Finch"
40.092342,-83.030396,2023-01-10 16:36:02.969,"Common Starling,House Finch"
40.092342,-83.030396,2023-01-10 16:36:03.727,"Common Starling,House Finch"
39.15317,-76.65696,2023-01-10 17:49:12.194,"Common Starling,House Finch"
40.092342,-83.030396,2023-01-11 16:02:31.911,"Common Starling,House Finch"
33.03842,-97.06709,2023-01-11 16:45:44.227,"Common Starling,House Finch"
42.974113,-89.47646,2023-01-12 14:23:21.111,"Common Starling,House Finch"
36.087086,-80.458405,2023-01-12 17:51:47.901,"Common Starling,House Finch"
39.133717,-76.67055,2023-01-12 19:47:13.911,"Common Starling,House Finch"
40.847996,-84.65157,2023-01-12 21:28:14.278,"Common Starling,House Finch"
33.367954,-86.16543,2023-01-13 14:20:07.823,"Common Starling,House Finch"
43.141155,-89.16089,2023-01-13 14:42:52.790,"Common Starling,House Finch"
40.847996,-84.65157,2023-01-13 17:05:07.421,"Common Starling,House Finch"
39.957977,-74.9852,2023-01-14 19:39:01.952,"Common Starling,House Finch"
38.27939,-85.20347,2023-01-14 21:46:57.274,"Common Starling,House Finch"
42.944572,-88.00138,2023-01-15 14:09:34.046,"Common Starling,House Finch"
38.741497,-104.833405,2023-01-15 16:47:03.941,"Common Starling,House Finch"
38.22614,-85.83063,2023-01-15 19:14:48.947,"Common Starling,House Finch"
36.121178,-79.80115,2023-01-15 21:15:40.298,"Common Starling,House Finch"
39.95092,-75.23425,2023-01-17 14:20:13.597,"Common Starling,House Finch"
38.999886,-104.75795,2023-01-17 17:14:27.640,"Common Starling,House Finch"
43.513935,-79.64555,2023-01-18 13:05:20.845,"Common Starling,House Finch"
37.80853,-97.83331,2023-01-18 16:33:26.717,"Common Starling,House Finch"
38.229996,-77.151665,2023-01-18 21:46:41.030,"Common Starling,House Finch"
35.05915,-77.007126,2023-01-19 14:21:15.287,"Common Starling,House Finch"
35.05915,-77.007126,2023-01-19 14:21:16.176,"Common Starling,House Finch"
