anonymized_latitude,anonymized_longitude,timestamp,species_name
31.975628,-110.77312,2023-01-20 00:00:26.042,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:00:54.946,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:00:54.961,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:00:54.952,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:00:54.993,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:00:55.631,Eurasian Collared Dove
38.83653,-121.3601,2023-01-20 00:03:03.018,Eurasian Collared Dove
32.283546,-110.94764,2023-01-20 00:04:33.013,Eurasian Collared Dove
32.283546,-110.94764,2023-01-20 00:04:34.414,Eurasian Collared Dove
32.131905,-110.97052,2023-01-20 00:13:13.067,Eurasian Collared Dove
44.115883,-121.239365,2023-01-20 00:15:18.116,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:16:01.695,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:16:01.708,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:16:01.868,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:16:02.071,Eurasian Collared Dove
33.65738,-112.07031,2023-01-20 00:17:53.167,Eurasian Collared Dove
33.44124,-111.94121,2023-01-20 00:19:03.866,Eurasian Collared Dove
33.767204,-116.30208,2023-01-20 00:19:15.085,Eurasian Collared Dove
33.767204,-116.30208,2023-01-20 00:19:15.672,Eurasian Collared Dove
32.698994,-117.16652,2023-01-20 00:19:16.291,Eurasian Collared Dove
32.698994,-117.16652,2023-01-20 00:19:16.300,Eurasian Collared Dove
32.698994,-117.16652,2023-01-20 00:19:16.389,Eurasian Collared Dove
33.767204,-116.30208,2023-01-20 00:19:16.411,Eurasian Collared Dove
33.767204,-116.30208,2023-01-20 00:19:16.447,Eurasian Collared Dove
32.698994,-117.16652,2023-01-20 00:19:16.818,Eurasian Collared Dove
32.698994,-117.16652,2023-01-20 00:19:17.025,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:29:55.842,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:29:55.845,Eurasian Collared Dove
39.397236,-119.84613,2023-01-20 00:29:56.403,Eurasian Collared Dove
25.278198,55.221577,2023-01-20 04:07:31.055,Eurasian Collared Dove
25.278198,55.221577,2023-01-20 04:28:46.961,Eurasian Collared Dove
25.278198,55.221577,2023-01-20 04:28:47.115,Eurasian Collared Dove
25.278198,55.221577,2023-01-20 05:05:46.355,Eurasian Collared Dove
46.04173,14.5547695,2023-01-20 07:00:50.470,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:03:56.811,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:03:57.332,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:03:57.354,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:03:58.871,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:03:58.960,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:03:59.153,Eurasian Collared Dove
44.863773,10.866712,2023-01-20 07:10:30.362,Eurasian Collared Dove
44.863773,10.866712,2023-01-20 07:10:30.384,Eurasian Collared Dove
50.428516,4.4996414,2023-01-20 07:22:35.959,Eurasian Collared Dove
46.04173,14.5547695,2023-01-20 07:23:39.034,Eurasian Collared Dove
44.863773,10.866712,2023-01-20 07:23:41.169,Eurasian Collared Dove
43.469902,5.4609714,2023-01-20 07:26:03.321,Eurasian Collared Dove
47.103615,6.4216366,2023-01-20 07:26:27.745,Eurasian Collared Dove
50.160355,7.229667,2023-01-20 07:27:21.737,Eurasian Collared Dove
53.62476,9.974922,2023-01-20 07:33:42.455,Eurasian Collared Dove
53.720383,9.31058,2023-01-20 07:36:35.815,Eurasian Collared Dove
53.720383,9.31058,2023-01-20 07:36:36.341,Eurasian Collared Dove
56.12053,9.527681,2023-01-20 07:44:10.334,Eurasian Collared Dove
43.70312,6.959528,2023-01-20 07:44:14.272,Eurasian Collared Dove
51.243484,6.834067,2023-01-20 07:44:21.893,Eurasian Collared Dove
52.19365,4.4622025,2023-01-20 07:44:26.548,Eurasian Collared Dove
52.288536,5.3967257,2023-01-20 07:45:39.429,Eurasian Collared Dove
52.288536,5.3967257,2023-01-20 07:45:39.593,Eurasian Collared Dove
52.288536,5.3967257,2023-01-20 07:45:39.638,Eurasian Collared Dove
52.288536,5.3967257,2023-01-20 07:45:40.584,Eurasian Collared Dove
50.57684,2.877652,2023-01-20 07:46:10.118,Eurasian Collared Dove
43.232,-0.050416425,2023-01-20 07:47:20.599,Eurasian Collared Dove
50.986996,3.6832485,2023-01-20 07:48:03.127,Eurasian Collared Dove
51.696037,7.3353715,2023-01-20 07:48:25.797,Eurasian Collared Dove
42.733585,2.9232795,2023-01-20 07:49:08.751,Eurasian Collared Dove
42.733585,2.9232795,2023-01-20 07:49:09.071,Eurasian Collared Dove
42.733585,2.9232795,2023-01-20 07:49:09.101,Eurasian Collared Dove
42.733585,2.9232795,2023-01-20 07:49:11.239,Eurasian Collared Dove
52.40538,4.8811274,2023-01-20 07:50:14.443,Eurasian Collared Dove
42.733585,2.9232795,2023-01-20 07:51:43.067,Eurasian Collared Dove
42.733585,2.9232795,2023-01-20 07:51:43.232,Eurasian Collared Dove
45.364643,5.992316,2023-01-20 07:51:43.422,Eurasian Collared Dove
45.364643,5.992316,2023-01-20 07:51:43.564,Eurasian Collared Dove
45.364643,5.992316,2023-01-20 07:51:43.659,Eurasian Collared Dove
45.364643,5.992316,2023-01-20 07:51:43.742,Eurasian Collared Dove
45.364643,5.992316,2023-01-20 07:51:43.802,Eurasian Collared Dove
45.364643,5.992316,2023-01-20 07:51:46.426,Eurasian Collared Dove
44.8598,-0.6863358,2023-01-20 07:52:38.255,Eurasian Collared Dove
44.8598,-0.6863358,2023-01-20 07:52:38.319,Eurasian Collared Dove
44.8598,-0.6863358,2023-01-20 07:52:38.332,Eurasian Collared Dove
44.8598,-0.6863358,2023-01-20 07:52:38.418,Eurasian Collared Dove
44.8598,-0.6863358,2023-01-20 07:52:38.617,Eurasian Collared Dove
48.931072,2.3735356,2023-01-20 07:53:43.298,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:55:15.047,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:55:15.227,Eurasian Collared Dove
50.066597,14.476355,2023-01-20 07:55:15.405,Eurasian Collared Dove
51.550385,3.9401991,2023-01-20 07:55:49.699,Eurasian Collared Dove
51.550385,3.9401991,2023-01-20 07:55:49.733,Eurasian Collared Dove
