anonymized_latitude,anonymized_longitude,timestamp,species_name
41.686302,-73.78519,2023-01-22 20:22:26.662,"Field Sparrow,Red-Headed Woodpecker"
39.742638,-75.40984,2023-01-25 20:25:39.376,"Field Sparrow,Red-Headed Woodpecker"
33.879242,-80.46535,2023-01-26 16:34:59.746,"Field Sparrow,Red-Headed Woodpecker"
41.525158,-93.6393,2023-01-29 17:22:48.167,"Field Sparrow,Red-Headed Woodpecker"
40.663734,-73.59257,2023-01-14 20:46:11.737,"Field Sparrow,Red-Headed Woodpecker"
39.044403,-84.45532,2023-01-14 21:16:33.826,"Field Sparrow,Red-Headed Woodpecker"
33.979675,-84.27247,2023-01-15 17:42:58.802,"Field Sparrow,Red-Headed Woodpecker"
38.44227,-90.40218,2023-01-04 16:54:04.544,"Field Sparrow,Red-Headed Woodpecker"
42.294456,-71.13033,2023-01-07 17:10:18.743,"Field Sparrow,Red-Headed Woodpecker"
33.215054,-86.3454,2023-01-08 16:25:15.092,"Field Sparrow,Red-Headed Woodpecker"
40.989677,-73.906525,2023-01-09 14:27:02.833,"Field Sparrow,Red-Headed Woodpecker"
