anonymized_latitude,anonymized_longitude,timestamp,species_name
32.27276,-110.73779,2023-01-23 18:36:08.891,"Gambels Quail,Woodhouses Scrub-Jay"
32.27276,-110.73779,2023-01-23 18:36:10.073,"Gambels Quail,Woodhouses Scrub-Jay"
32.27276,-110.73779,2023-01-25 15:15:12.509,"Gambels Quail,Woodhouses Scrub-Jay"
32.27276,-110.73779,2023-01-26 16:00:18.631,"Gambels Quail,Woodhouses Scrub-Jay"
32.475998,-110.94078,2023-01-27 15:51:40.392,"Gambels Quail,Woodhouses Scrub-Jay"
32.27276,-110.73779,2023-01-29 00:09:49.137,"Gambels Quail,Woodhouses Scrub-Jay"
33.418198,-111.80753,2023-01-18 20:32:41.473,"Gambels Quail,Woodhouses Scrub-Jay"
33.48402,-111.851105,2023-01-02 22:44:48.224,"Gambels Quail,Woodhouses Scrub-Jay"
32.27276,-110.73779,2023-01-05 15:00:48.064,"Gambels Quail,Woodhouses Scrub-Jay"
33.418198,-111.80753,2023-01-06 17:15:16.684,"Gambels Quail,Woodhouses Scrub-Jay"
