anonymized_latitude,anonymized_longitude,timestamp,species_name
33.539658,-112.42565,2023-01-20 14:49:24.636,Gilded Flicker
33.539658,-112.42565,2023-01-20 14:49:24.762,Gilded Flicker
33.539658,-112.42565,2023-01-20 14:49:24.774,Gilded Flicker
33.539658,-112.42565,2023-01-20 14:49:24.778,Gilded Flicker
33.678337,-111.93707,2023-01-20 14:52:24.043,Gilded Flicker
33.372265,-112.097984,2023-01-20 14:58:54.484,Gilded Flicker
33.372265,-112.097984,2023-01-20 14:58:54.631,Gilded Flicker
33.372265,-112.097984,2023-01-20 14:58:54.653,Gilded Flicker
33.372265,-112.097984,2023-01-20 14:58:55.906,Gilded Flicker
33.372265,-112.097984,2023-01-20 15:14:03.566,Gilded Flicker
33.372265,-112.097984,2023-01-20 15:14:06.782,Gilded Flicker
33.372265,-112.097984,2023-01-20 15:14:07.987,Gilded Flicker
33.372265,-112.097984,2023-01-20 15:14:08.658,Gilded Flicker
33.372265,-112.097984,2023-01-20 15:14:18.745,Gilded Flicker
33.372265,-112.097984,2023-01-20 15:14:20.302,Gilded Flicker
33.56273,-111.9506,2023-01-20 15:42:18.895,Gilded Flicker
33.56273,-111.9506,2023-01-20 15:42:19.304,Gilded Flicker
33.56273,-111.9506,2023-01-20 15:42:20.215,Gilded Flicker
33.56273,-111.9506,2023-01-20 15:42:21.197,Gilded Flicker
33.56273,-111.9506,2023-01-20 15:56:41.907,Gilded Flicker
33.56273,-111.9506,2023-01-20 15:56:42.718,Gilded Flicker
33.56273,-111.9506,2023-01-20 15:56:43.219,Gilded Flicker
33.530094,-112.37,2023-01-20 16:07:28.865,Gilded Flicker
33.530094,-112.37,2023-01-20 16:07:28.962,Gilded Flicker
33.56273,-111.9506,2023-01-20 18:07:33.395,Gilded Flicker
33.56273,-111.9506,2023-01-20 18:21:16.566,Gilded Flicker
33.56273,-111.9506,2023-01-20 18:21:16.609,Gilded Flicker
33.56273,-111.9506,2023-01-20 18:21:17.390,Gilded Flicker
33.56273,-111.9506,2023-01-20 18:21:17.609,Gilded Flicker
33.678337,-111.93707,2023-01-20 18:31:05.181,Gilded Flicker
33.678337,-111.93707,2023-01-20 18:31:05.546,Gilded Flicker
33.678337,-111.93707,2023-01-20 18:31:05.770,Gilded Flicker
33.670635,-111.92534,2023-01-20 19:25:20.448,Gilded Flicker
33.670635,-111.92534,2023-01-20 19:25:20.514,Gilded Flicker
33.670635,-111.92534,2023-01-20 19:25:22.890,Gilded Flicker
33.824883,-111.97427,2023-01-20 21:56:51.774,Gilded Flicker
33.60053,-111.772125,2023-01-20 22:47:28.534,Gilded Flicker
33.60053,-111.772125,2023-01-20 22:47:29.264,Gilded Flicker
33.56273,-111.9506,2023-01-20 23:13:15.235,Gilded Flicker
33.56273,-111.9506,2023-01-20 23:13:15.447,Gilded Flicker
33.56273,-111.9506,2023-01-20 23:13:15.506,Gilded Flicker
33.56273,-111.9506,2023-01-20 23:13:15.574,Gilded Flicker
33.678337,-111.93707,2023-01-21 14:50:00.400,Gilded Flicker
33.678337,-111.93707,2023-01-21 14:50:07.451,Gilded Flicker
33.65738,-112.07031,2023-01-21 14:57:25.368,Gilded Flicker
33.65738,-112.07031,2023-01-21 14:57:34.028,Gilded Flicker
33.65738,-112.07031,2023-01-21 14:57:39.100,Gilded Flicker
33.65738,-112.07031,2023-01-21 14:57:52.908,Gilded Flicker
33.65738,-112.07031,2023-01-21 14:58:01.316,Gilded Flicker
33.678337,-111.93707,2023-01-21 16:32:39.324,Gilded Flicker
33.678337,-111.93707,2023-01-21 16:32:42.550,Gilded Flicker
33.678337,-111.93707,2023-01-21 18:55:31.704,Gilded Flicker
33.678337,-111.93707,2023-01-21 18:55:31.852,Gilded Flicker
