anonymized_latitude,anonymized_longitude,timestamp,species_name
39.82705,-75.27364,2023-01-20 21:18:31.098,"Mourning Dove,Pine Siskin"
31.429586,-94.83692,2023-01-21 19:28:31.810,"Mourning Dove,Pine Siskin"
37.29826,-107.58461,2023-01-23 15:47:01.560,"Mourning Dove,Pine Siskin"
38.838932,-90.63776,2023-01-23 20:35:52.513,"Mourning Dove,Pine Siskin"
41.85668,-72.252266,2023-01-24 14:21:54.325,"Mourning Dove,Pine Siskin"
37.7107,-97.37608,2023-01-24 18:56:07.782,"Mourning Dove,Pine Siskin"
39.82705,-75.27364,2023-01-25 17:36:56.142,"Mourning Dove,Pine Siskin"
32.506298,-110.93826,2023-01-26 23:09:27.779,"Mourning Dove,Pine Siskin"
36.13614,-82.77148,2023-01-27 18:30:32.203,"Mourning Dove,Pine Siskin"
37.80853,-97.83331,2023-01-27 20:27:12.515,"Mourning Dove,Pine Siskin"
32.506298,-110.93826,2023-01-28 16:09:12.858,"Mourning Dove,Pine Siskin"
36.78517,-119.60662,2023-01-29 18:56:38.562,"Mourning Dove,Pine Siskin"
39.48081,-77.30854,2023-01-30 12:38:12.353,"Mourning Dove,Pine Siskin"
40.11855,-77.2001,2023-01-30 19:40:23.829,"Mourning Dove,Pine Siskin"
38.31804,-77.59121,2023-01-31 14:23:06.735,"Mourning Dove,Pine Siskin"
34.71867,-120.14896,2023-01-10 17:10:58.424,"Mourning Dove,Pine Siskin"
44.483128,-88.12798,2023-01-10 20:37:21.750,"Mourning Dove,Pine Siskin"
40.622856,-80.14295,2023-01-14 13:39:45.851,"Mourning Dove,Pine Siskin"
37.986122,-84.56137,2023-01-14 13:50:19.332,"Mourning Dove,Pine Siskin"
40.348045,-74.14586,2023-01-17 19:10:30.311,"Mourning Dove,Pine Siskin"
33.224712,-117.36251,2023-01-17 21:07:10.108,"Mourning Dove,Pine Siskin"
41.92854,-72.401245,2023-01-01 14:50:42.190,"Mourning Dove,Pine Siskin"
37.43656,-77.41628,2023-01-01 15:24:07.373,"Mourning Dove,Pine Siskin"
40.764713,-73.91541,2023-01-04 14:51:30.251,"Mourning Dove,Pine Siskin"
42.944572,-88.00138,2023-01-05 19:42:40.763,"Mourning Dove,Pine Siskin"
42.013115,-87.79812,2023-01-07 20:52:32.718,"Mourning Dove,Pine Siskin"
