anonymized_latitude,anonymized_longitude,timestamp,species_name
30.39654,-84.21879,2023-01-20 14:10:39.183,Northern Red Bishop
30.603668,-86.48816,2023-01-20 14:23:39.169,Northern Red Bishop
30.603668,-86.48816,2023-01-20 14:24:13.983,Northern Red Bishop
30.522957,-95.71397,2023-01-20 15:17:19.851,Northern Red Bishop
32.698994,-117.16652,2023-01-20 16:05:45.424,Northern Red Bishop
33.984287,-117.99307,2023-01-20 18:00:56.710,Northern Red Bishop
30.522957,-95.71397,2023-01-20 18:02:44.929,Northern Red Bishop
33.84099,-118.44526,2023-01-20 19:50:15.987,Northern Red Bishop
33.923294,-118.32127,2023-01-20 21:23:59.171,Northern Red Bishop
37.83906,-122.005135,2023-01-20 22:35:27.885,Northern Red Bishop
33.610134,-117.816574,2023-01-21 00:00:38.717,Northern Red Bishop
26.375467,-80.24682,2023-01-21 13:50:18.611,Northern Red Bishop
30.511236,-84.39179,2023-01-21 14:02:13.804,Northern Red Bishop
34.123116,-118.31675,2023-01-21 17:38:09.795,Northern Red Bishop
33.05992,-117.1768,2023-01-21 17:49:08.825,Northern Red Bishop
38.37419,-122.2612,2023-01-21 17:53:27.978,Northern Red Bishop
29.593306,-82.465866,2023-01-21 18:36:14.273,Northern Red Bishop
32.79603,-117.056244,2023-01-21 19:53:23.990,Northern Red Bishop
37.862312,-122.066986,2023-01-21 20:26:58.004,Northern Red Bishop
30.803732,-85.47685,2023-01-21 21:47:51.276,Northern Red Bishop
32.667572,-116.99913,2023-01-21 22:01:52.426,Northern Red Bishop
33.035007,-117.20522,2023-01-21 22:10:20.663,Northern Red Bishop
33.035007,-117.20522,2023-01-21 22:10:21.963,Northern Red Bishop
30.522957,-95.71397,2023-01-21 22:13:51.683,Northern Red Bishop
29.699465,-95.94329,2023-01-21 22:18:43.326,Northern Red Bishop
29.788923,-95.77895,2023-01-22 15:14:19.163,Northern Red Bishop
33.64629,-116.73036,2023-01-22 15:40:19.347,Northern Red Bishop
30.28445,-93.25646,2023-01-22 16:06:44.055,Northern Red Bishop
33.372265,-112.097984,2023-01-22 16:10:33.254,Northern Red Bishop
34.27762,-111.373505,2023-01-22 17:03:20.072,Northern Red Bishop
34.27762,-111.373505,2023-01-22 17:03:24.490,Northern Red Bishop
35.692547,-120.70794,2023-01-22 17:13:22.061,Northern Red Bishop
30.071316,-95.21866,2023-01-22 17:42:09.518,Northern Red Bishop
38.78856,-121.22462,2023-01-22 17:52:28.313,Northern Red Bishop
33.773556,-117.688126,2023-01-22 18:58:28.574,Northern Red Bishop
30.231514,-93.85353,2023-01-22 19:18:20.387,Northern Red Bishop
33.675972,-117.82013,2023-01-22 20:56:05.838,Northern Red Bishop
37.727207,-122.4129,2023-01-22 21:51:29.070,Northern Red Bishop
37.862312,-122.066986,2023-01-23 00:02:24.898,Northern Red Bishop
34.19032,-118.635994,2023-01-23 00:09:09.459,Northern Red Bishop
