anonymized_latitude,anonymized_longitude,timestamp,species_name
39.454372,-119.833145,2022-12-01 23:04:43.771,"American Crow,Spotted Towhee"
40.848766,-111.89937,2022-12-04 20:21:14.165,"American Crow,Spotted Towhee"
37.704617,-122.231026,2022-12-05 22:22:24.832,"American Crow,Spotted Towhee"
34.046474,-117.93917,2022-12-06 21:01:34.884,"American Crow,Spotted Towhee"
39.555225,-104.83631,2022-12-07 15:18:36.645,"American Crow,Spotted Towhee"
45.45425,-122.65059,2022-12-08 19:07:33.515,"American Crow,Spotted Towhee"
47.68282,-122.259,2022-12-13 23:16:07.833,"American Crow,Spotted Towhee"
37.737137,-122.42792,2022-12-16 21:24:09.551,"American Crow,Spotted Towhee"
37.626213,-113.04611,2022-12-17 23:47:14.887,"American Crow,Spotted Towhee"
36.097248,-95.84543,2022-12-20 20:33:58.187,"American Crow,Spotted Towhee"
48.729847,-122.55042,2022-12-21 20:12:41.529,"American Crow,Spotted Towhee"
39.762558,-104.91922,2022-12-22 17:36:41.376,"American Crow,Spotted Towhee"
38.670433,-123.46001,2022-12-22 17:54:36.679,"American Crow,Spotted Towhee"
36.731796,-101.48013,2022-12-26 17:19:54.221,"American Crow,Spotted Towhee"
41.112637,-111.94532,2022-12-30 21:47:49.058,"American Crow,Spotted Towhee"
39.762558,-104.91922,2022-12-30 22:18:30.184,"American Crow,Spotted Towhee"
46.646957,-117.02474,2022-12-30 23:18:53.235,"American Crow,Spotted Towhee"
