anonymized_latitude,anonymized_longitude,timestamp,species_name
34.82305,-111.69271,2022-12-03 19:05:25.649,"Canyon Towhee,Purple Finch"
33.57097,-112.03429,2022-12-11 23:29:17.202,"Canyon Towhee,Purple Finch"
38.932762,-104.518005,2022-12-13 16:28:09.829,"Canyon Towhee,Purple Finch"
31.763264,-98.82497,2022-12-16 18:58:08.525,"Canyon Towhee,Purple Finch"
34.58963,-112.47091,2022-12-20 19:58:08.881,"Canyon Towhee,Purple Finch"
33.41716,-111.87778,2022-12-20 21:31:19.951,"Canyon Towhee,Purple Finch"
38.855427,-104.84937,2022-12-26 22:48:23.547,"Canyon Towhee,Purple Finch"
33.49903,-111.87134,2022-12-28 22:08:58.329,"Canyon Towhee,Purple Finch"
34.82305,-111.69271,2022-12-30 16:32:43.792,"Canyon Towhee,Purple Finch"
38.87586,-104.637764,2022-12-31 15:15:12.683,"Canyon Towhee,Purple Finch"
