anonymized_latitude,anonymized_longitude,timestamp,species_name
34.334118,-77.905,2022-12-02 12:05:27.568,"Eastern Bluebird,Northern Mockingbird"
40.13538,-75.49074,2022-12-06 14:26:20.358,"Eastern Bluebird,Northern Mockingbird"
39.28508,-74.74727,2022-12-08 13:00:01.288,"Eastern Bluebird,Northern Mockingbird"
35.401234,-82.42827,2022-12-11 16:04:12.095,"Eastern Bluebird,Northern Mockingbird"
33.966423,-84.47319,2022-12-11 17:27:22.678,"Eastern Bluebird,Northern Mockingbird"
36.052166,-80.31406,2022-12-11 19:02:23.192,"Eastern Bluebird,Northern Mockingbird"
32.515408,-90.101494,2022-12-11 21:01:08.406,"Eastern Bluebird,Northern Mockingbird"
33.966423,-84.47319,2022-12-13 16:37:28.151,"Eastern Bluebird,Northern Mockingbird"
35.8427,-78.829735,2022-12-15 13:24:51.373,"Eastern Bluebird,Northern Mockingbird"
35.401234,-82.42827,2022-12-15 16:31:18.481,"Eastern Bluebird,Northern Mockingbird"
35.240486,-81.15911,2022-12-15 17:26:56.642,"Eastern Bluebird,Northern Mockingbird"
40.44228,-75.35546,2022-12-15 18:23:24.353,"Eastern Bluebird,Northern Mockingbird"
39.357666,-94.87791,2022-12-15 18:28:32.196,"Eastern Bluebird,Northern Mockingbird"
41.537544,-85.97333,2022-12-15 19:05:35.736,"Eastern Bluebird,Northern Mockingbird"
41.537544,-85.97333,2022-12-15 19:05:44.379,"Eastern Bluebird,Northern Mockingbird"
40.067947,-82.92305,2022-12-15 21:19:21.830,"Eastern Bluebird,Northern Mockingbird"
35.23338,-81.02395,2022-12-21 18:30:35.251,"Eastern Bluebird,Northern Mockingbird"
40.067947,-82.92305,2022-12-24 13:37:41.110,"Eastern Bluebird,Northern Mockingbird"
43.145367,-70.82053,2022-12-24 14:29:44.610,"Eastern Bluebird,Northern Mockingbird"
39.178814,-77.24927,2022-12-25 17:06:51.794,"Eastern Bluebird,Northern Mockingbird"
37.742252,-77.56507,2022-12-25 18:48:29.906,"Eastern Bluebird,Northern Mockingbird"
43.145367,-70.82053,2022-12-25 20:33:27.657,"Eastern Bluebird,Northern Mockingbird"
34.1094,-84.06943,2022-12-26 13:47:06.507,"Eastern Bluebird,Northern Mockingbird"
38.890625,-77.35996,2022-12-26 16:05:12.727,"Eastern Bluebird,Northern Mockingbird"
39.178814,-77.24927,2022-12-26 16:11:10.737,"Eastern Bluebird,Northern Mockingbird"
33.36937,-86.76102,2022-12-27 13:59:44.779,"Eastern Bluebird,Northern Mockingbird"
40.198116,-83.004135,2022-12-28 14:47:55.852,"Eastern Bluebird,Northern Mockingbird"
40.198116,-83.004135,2022-12-28 14:47:59.320,"Eastern Bluebird,Northern Mockingbird"
39.967594,-82.93537,2022-12-28 15:21:25.368,"Eastern Bluebird,Northern Mockingbird"
39.967594,-82.93537,2022-12-28 16:21:44.271,"Eastern Bluebird,Northern Mockingbird"
42.876205,-85.494354,2022-12-28 16:31:36.656,"Eastern Bluebird,Northern Mockingbird"
39.031254,-77.24656,2022-12-28 18:07:47.730,"Eastern Bluebird,Northern Mockingbird"
39.852177,-74.77586,2022-12-28 19:41:16.121,"Eastern Bluebird,Northern Mockingbird"
39.106018,-77.3224,2022-12-28 20:08:52.314,"Eastern Bluebird,Northern Mockingbird"
39.155937,-76.920006,2022-12-28 20:45:31.613,"Eastern Bluebird,Northern Mockingbird"
33.31688,-84.73804,2022-12-29 15:38:07.512,"Eastern Bluebird,Northern Mockingbird"
39.299755,-76.82806,2022-12-30 13:48:20.692,"Eastern Bluebird,Northern Mockingbird"
40.06859,-76.82361,2022-12-30 20:46:05.629,"Eastern Bluebird,Northern Mockingbird"
39.70114,-76.54493,2022-12-31 13:22:09.551,"Eastern Bluebird,Northern Mockingbird"
39.70114,-76.54493,2022-12-31 13:22:10.368,"Eastern Bluebird,Northern Mockingbird"
42.53329,-71.31271,2022-12-31 18:43:48.613,"Eastern Bluebird,Northern Mockingbird"
