anonymized_latitude,anonymized_longitude,timestamp,species_name
37.704617,-122.231026,2022-12-01 17:23:33.660,"Evening Grosbeak,Lesser Goldfinch"
37.896664,-121.97609,2022-12-01 17:57:43.374,"Evening Grosbeak,Lesser Goldfinch"
37.896664,-121.97609,2022-12-01 21:53:52.549,"Evening Grosbeak,Lesser Goldfinch"
37.29826,-107.58461,2022-12-03 18:00:11.981,"Evening Grosbeak,Lesser Goldfinch"
37.601208,-122.32185,2022-12-03 20:36:22.774,"Evening Grosbeak,Lesser Goldfinch"
44.885277,-123.13108,2022-12-04 16:04:41.406,"Evening Grosbeak,Lesser Goldfinch"
45.340363,-122.17014,2022-12-08 18:24:27.024,"Evening Grosbeak,Lesser Goldfinch"
38.127632,-122.61538,2022-12-10 16:02:36.078,"Evening Grosbeak,Lesser Goldfinch"
45.415184,-122.59869,2022-12-10 18:20:51.938,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-10 23:18:58.203,"Evening Grosbeak,Lesser Goldfinch"
44.112915,-121.32525,2022-12-11 19:48:26.205,"Evening Grosbeak,Lesser Goldfinch"
39.19131,-119.81197,2022-12-11 23:33:41.854,"Evening Grosbeak,Lesser Goldfinch"
43.69581,-116.26571,2022-12-12 15:49:02.760,"Evening Grosbeak,Lesser Goldfinch"
37.802574,-122.43451,2022-12-13 19:48:56.844,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-14 23:14:32.537,"Evening Grosbeak,Lesser Goldfinch"
35.45951,-108.709305,2022-12-15 19:47:55.959,"Evening Grosbeak,Lesser Goldfinch"
37.601208,-122.32185,2022-12-16 16:14:44.346,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-16 23:14:27.596,"Evening Grosbeak,Lesser Goldfinch"
42.41282,-122.9,2022-12-18 15:54:01.750,"Evening Grosbeak,Lesser Goldfinch"
42.41282,-122.9,2022-12-18 15:54:06.669,"Evening Grosbeak,Lesser Goldfinch"
35.45951,-108.709305,2022-12-18 22:21:42.568,"Evening Grosbeak,Lesser Goldfinch"
33.369095,-111.891075,2022-12-19 15:59:59.223,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-21 17:07:30.361,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-22 16:06:10.558,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-22 16:06:10.958,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-22 22:32:57.203,"Evening Grosbeak,Lesser Goldfinch"
45.369167,-122.758835,2022-12-23 19:27:30.438,"Evening Grosbeak,Lesser Goldfinch"
45.516983,-123.026764,2022-12-23 20:02:42.816,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-24 17:00:05.208,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-24 17:00:05.765,"Evening Grosbeak,Lesser Goldfinch"
45.550922,-122.61793,2022-12-25 18:42:34.851,"Evening Grosbeak,Lesser Goldfinch"
40.621887,-111.71791,2022-12-28 16:34:45.114,"Evening Grosbeak,Lesser Goldfinch"
42.22349,-121.65732,2022-12-28 18:28:37.660,"Evening Grosbeak,Lesser Goldfinch"
34.229454,-118.169174,2022-12-30 18:11:33.266,"Evening Grosbeak,Lesser Goldfinch"
40.849636,-111.88856,2022-12-30 19:51:20.812,"Evening Grosbeak,Lesser Goldfinch"
37.601208,-122.32185,2022-12-31 15:56:59.476,"Evening Grosbeak,Lesser Goldfinch"
37.601208,-122.32185,2022-12-31 17:52:45.867,"Evening Grosbeak,Lesser Goldfinch"
