anonymized_latitude,anonymized_longitude,timestamp,species_name
33.670635,-111.92534,2022-12-01 14:05:03.551,Hepatic Tanager
35.258633,-106.6692,2022-12-01 15:07:30.863,Hepatic Tanager
33.756588,-117.83332,2022-12-01 15:21:40.099,Hepatic Tanager
34.107704,-118.7468,2022-12-01 15:33:06.981,Hepatic Tanager
33.467422,-117.644936,2022-12-01 15:37:33.114,Hepatic Tanager
33.467422,-117.644936,2022-12-01 15:37:34.287,Hepatic Tanager
33.467422,-117.644936,2022-12-01 15:37:35.223,Hepatic Tanager
33.83294,-117.74211,2022-12-01 15:45:43.170,Hepatic Tanager
34.82305,-111.69271,2022-12-01 15:59:36.135,Hepatic Tanager
34.44085,-118.51234,2022-12-01 16:33:54.460,Hepatic Tanager
34.44085,-118.51234,2022-12-01 16:33:54.716,Hepatic Tanager
34.29163,-118.83594,2022-12-01 17:09:39.558,Hepatic Tanager
33.556637,-111.89887,2022-12-01 17:17:42.719,Hepatic Tanager
33.556637,-111.89887,2022-12-01 17:22:42.131,Hepatic Tanager
34.44085,-118.51234,2022-12-01 17:27:04.887,Hepatic Tanager
34.44085,-118.51234,2022-12-01 17:27:05.832,Hepatic Tanager
33.556637,-111.89887,2022-12-01 17:52:28.597,Hepatic Tanager
34.08071,-118.30555,2022-12-01 18:31:37.502,Hepatic Tanager
32.475998,-110.94078,2022-12-01 18:39:00.868,Hepatic Tanager
34.08071,-118.30555,2022-12-01 18:39:27.757,Hepatic Tanager
34.29163,-118.83594,2022-12-01 19:09:50.650,Hepatic Tanager
33.83294,-117.74211,2022-12-01 19:48:04.663,Hepatic Tanager
35.040268,-106.68797,2022-12-01 20:10:58.491,Hepatic Tanager
34.44085,-118.51234,2022-12-01 20:19:19.778,Hepatic Tanager
34.44085,-118.51234,2022-12-01 20:19:19.782,Hepatic Tanager
34.44085,-118.51234,2022-12-01 20:19:21.342,Hepatic Tanager
34.44085,-118.51234,2022-12-01 20:19:22.095,Hepatic Tanager
34.44085,-118.51234,2022-12-01 20:19:26.390,Hepatic Tanager
34.29163,-118.83594,2022-12-01 20:35:05.394,Hepatic Tanager
34.29163,-118.83594,2022-12-01 21:27:25.410,Hepatic Tanager
34.19032,-118.635994,2022-12-01 22:10:54.518,Hepatic Tanager
34.132053,-118.06213,2022-12-01 22:52:25.528,Hepatic Tanager
34.196106,-118.50147,2022-12-01 23:11:15.939,Hepatic Tanager
35.640266,-105.96546,2022-12-01 23:22:40.637,Hepatic Tanager
33.689976,-117.86928,2022-12-01 23:34:51.655,Hepatic Tanager
33.689976,-117.86928,2022-12-01 23:34:52.013,Hepatic Tanager
33.99536,-117.517136,2022-12-01 23:51:47.622,Hepatic Tanager
34.29163,-118.83594,2022-12-02 00:00:14.920,Hepatic Tanager
32.325413,-111.115524,2022-12-02 00:41:58.936,Hepatic Tanager
33.556637,-111.89887,2022-12-02 14:46:04.942,Hepatic Tanager
35.040268,-106.68797,2022-12-02 14:58:33.186,Hepatic Tanager
34.18296,-118.78362,2022-12-02 15:05:26.057,Hepatic Tanager
34.44085,-118.51234,2022-12-02 15:06:04.748,Hepatic Tanager
33.09562,-117.149635,2022-12-02 15:21:57.272,Hepatic Tanager
33.404697,-117.26028,2022-12-02 15:29:35.151,Hepatic Tanager
33.675972,-117.82013,2022-12-02 15:35:20.643,Hepatic Tanager
