anonymized_latitude,anonymized_longitude,timestamp,species_name
37.785927,-122.00095,2022-12-01 00:16:40.537,Mountain Bluebird
37.785927,-122.00095,2022-12-01 00:16:44.892,Mountain Bluebird
32.475998,-110.94078,2022-12-01 13:50:01.099,Mountain Bluebird
47.863106,-117.3683,2022-12-01 16:35:51.857,Mountain Bluebird
47.68282,-122.259,2022-12-01 16:54:37.174,Mountain Bluebird
47.68551,-122.23513,2022-12-01 17:12:52.981,Mountain Bluebird
45.8032,-119.25612,2022-12-01 17:32:54.781,Mountain Bluebird
51.00227,-113.58908,2022-12-01 20:23:17.059,Mountain Bluebird
40.764713,-73.91541,2022-12-01 20:35:38.043,Mountain Bluebird
43.62784,-116.31014,2022-12-01 22:04:27.223,Mountain Bluebird
37.704617,-122.231026,2022-12-02 00:20:33.496,Mountain Bluebird
37.704617,-122.231026,2022-12-02 15:13:09.600,Mountain Bluebird
32.062313,-110.714935,2022-12-02 16:38:56.518,Mountain Bluebird
41.714417,-71.12387,2022-12-02 20:12:23.506,Mountain Bluebird
50.009968,-119.21343,2022-12-02 21:56:46.918,Mountain Bluebird
43.584026,-116.37765,2022-12-02 22:19:29.084,Mountain Bluebird
30.146416,-97.898834,2022-12-02 22:45:10.117,Mountain Bluebird
40.609177,-111.978935,2022-12-02 22:56:15.914,Mountain Bluebird
37.46886,-122.536064,2022-12-03 00:13:00.719,Mountain Bluebird
39.57641,-106.46631,2022-12-03 15:32:44.644,Mountain Bluebird
39.433243,-104.784035,2022-12-03 16:44:48.228,Mountain Bluebird
39.57016,-104.73831,2022-12-03 20:38:05.615,Mountain Bluebird
37.80853,-97.83331,2022-12-03 21:40:18.892,Mountain Bluebird
51.00227,-113.58908,2022-12-03 21:48:13.025,Mountain Bluebird
46.188553,-119.10798,2022-12-03 22:10:01.480,Mountain Bluebird
40.591118,-111.78404,2022-12-03 22:54:33.738,Mountain Bluebird
44.031532,-121.34621,2022-12-03 23:29:52.182,Mountain Bluebird
40.848766,-111.89937,2022-12-04 16:37:30.908,Mountain Bluebird
50.175762,-101.01045,2022-12-04 17:31:55.890,Mountain Bluebird
40.288628,-111.741234,2022-12-04 17:44:21.424,Mountain Bluebird
47.941547,-122.029106,2022-12-04 18:19:58.039,Mountain Bluebird
33.369095,-111.891075,2022-12-04 19:50:03.162,Mountain Bluebird
33.369095,-111.891075,2022-12-04 19:50:03.294,Mountain Bluebird
38.225906,-120.857864,2022-12-04 19:57:23.922,Mountain Bluebird
35.640266,-105.96546,2022-12-04 20:24:36.910,Mountain Bluebird
39.762558,-104.91922,2022-12-04 21:29:15.225,Mountain Bluebird
38.225906,-120.857864,2022-12-04 21:47:56.450,Mountain Bluebird
38.225906,-120.857864,2022-12-04 22:06:26.241,Mountain Bluebird
35.22748,-106.634735,2022-12-04 22:54:51.442,Mountain Bluebird
38.225906,-120.857864,2022-12-05 00:00:30.631,Mountain Bluebird
38.225906,-120.857864,2022-12-05 00:00:30.691,Mountain Bluebird
38.225906,-120.857864,2022-12-05 00:00:31.695,Mountain Bluebird
38.225906,-120.857864,2022-12-05 00:00:32.741,Mountain Bluebird
41.649498,-112.01168,2022-12-05 15:16:30.139,Mountain Bluebird
32.738445,-114.70033,2022-12-05 17:33:36.163,Mountain Bluebird
51.00227,-113.58908,2022-12-05 18:22:43.862,Mountain Bluebird
38.225906,-120.857864,2022-12-05 18:33:07.844,Mountain Bluebird
38.225906,-120.857864,2022-12-05 18:33:08.886,Mountain Bluebird
48.997787,-122.2208,2022-12-05 19:44:38.160,Mountain Bluebird
44.931248,-93.23662,2022-12-05 20:54:45.455,Mountain Bluebird
38.225906,-120.857864,2022-12-05 21:27:15.986,Mountain Bluebird
47.718445,-122.16988,2022-12-05 23:39:52.154,Mountain Bluebird
45.415184,-122.59869,2022-12-05 23:45:54.079,Mountain Bluebird
43.659058,-116.44325,2022-12-05 23:46:24.602,Mountain Bluebird
35.640266,-105.96546,2022-12-06 14:50:11.203,Mountain Bluebird
29.748219,-95.400665,2022-12-06 14:51:48.158,Mountain Bluebird
38.225906,-120.857864,2022-12-06 15:18:48.574,Mountain Bluebird
38.225906,-120.857864,2022-12-06 15:30:52.670,Mountain Bluebird
38.225906,-120.857864,2022-12-06 15:31:55.900,Mountain Bluebird
38.225906,-120.857864,2022-12-06 15:50:51.557,Mountain Bluebird
33.295765,-111.83357,2022-12-06 16:48:44.228,Mountain Bluebird
44.031532,-121.34621,2022-12-06 17:00:29.111,Mountain Bluebird
44.031532,-121.34621,2022-12-06 17:00:30.032,Mountain Bluebird
44.031532,-121.34621,2022-12-06 17:00:34.509,Mountain Bluebird
44.031532,-121.34621,2022-12-06 17:01:17.795,Mountain Bluebird
37.704617,-122.231026,2022-12-06 17:18:13.618,Mountain Bluebird
51.141804,-114.035614,2022-12-06 17:51:49.648,Mountain Bluebird
30.007242,-90.235504,2022-12-06 18:18:24.158,Mountain Bluebird
38.225906,-120.857864,2022-12-06 18:40:29.584,Mountain Bluebird
47.625885,-117.25461,2022-12-06 19:52:30.204,Mountain Bluebird
47.63744,-122.29626,2022-12-06 21:55:39.209,Mountain Bluebird
33.670288,-112.41029,2022-12-07 18:28:46.627,Mountain Bluebird
37.704617,-122.231026,2022-12-07 18:35:58.738,Mountain Bluebird
33.670635,-111.92534,2022-12-07 19:17:30.417,Mountain Bluebird
