anonymized_latitude,anonymized_longitude,timestamp,species_name
33.567616,-117.869514,2022-12-02 16:34:33.084,"Mourning Dove,Scaly-Breasted Munia"
33.567616,-117.869514,2022-12-02 18:13:51.259,"Mourning Dove,Scaly-Breasted Munia"
29.632416,-95.66014,2022-12-03 13:11:42.655,"Mourning Dove,Scaly-Breasted Munia"
34.293186,-119.04811,2022-12-04 23:28:42.665,"Mourning Dove,Scaly-Breasted Munia"
33.567616,-117.869514,2022-12-06 15:09:15.463,"Mourning Dove,Scaly-Breasted Munia"
29.632416,-95.66014,2022-12-10 13:12:25.197,"Mourning Dove,Scaly-Breasted Munia"
33.141205,-117.217865,2022-12-11 00:27:19.257,"Mourning Dove,Scaly-Breasted Munia"
32.971638,-117.03225,2022-12-12 17:41:22.526,"Mourning Dove,Scaly-Breasted Munia"
29.632416,-95.66014,2022-12-13 21:01:36.236,"Mourning Dove,Scaly-Breasted Munia"
29.632416,-95.66014,2022-12-15 14:34:12.058,"Mourning Dove,Scaly-Breasted Munia"
33.567616,-117.869514,2022-12-15 17:26:27.664,"Mourning Dove,Scaly-Breasted Munia"
32.69752,-117.08513,2022-12-15 22:00:13.629,"Mourning Dove,Scaly-Breasted Munia"
33.90406,-118.29113,2022-12-15 22:20:44.652,"Mourning Dove,Scaly-Breasted Munia"
32.69752,-117.08513,2022-12-15 23:05:31.575,"Mourning Dove,Scaly-Breasted Munia"
32.69752,-117.08513,2022-12-15 23:05:33.710,"Mourning Dove,Scaly-Breasted Munia"
33.567616,-117.869514,2022-12-15 23:40:16.207,"Mourning Dove,Scaly-Breasted Munia"
32.69752,-117.08513,2022-12-16 16:26:34.376,"Mourning Dove,Scaly-Breasted Munia"
33.90406,-118.29113,2022-12-19 16:29:06.654,"Mourning Dove,Scaly-Breasted Munia"
29.632416,-95.66014,2022-12-21 16:03:28.751,"Mourning Dove,Scaly-Breasted Munia"
29.632416,-95.66014,2022-12-22 17:10:33.484,"Mourning Dove,Scaly-Breasted Munia"
29.699465,-95.94329,2022-12-26 15:26:50.887,"Mourning Dove,Scaly-Breasted Munia"
34.391678,-119.94204,2022-12-27 17:50:14.862,"Mourning Dove,Scaly-Breasted Munia"
34.391678,-119.94204,2022-12-27 20:15:04.745,"Mourning Dove,Scaly-Breasted Munia"
33.06743,-117.29915,2022-12-30 17:10:10.805,"Mourning Dove,Scaly-Breasted Munia"
33.171272,-117.20999,2022-12-30 19:48:41.618,"Mourning Dove,Scaly-Breasted Munia"
29.632416,-95.66014,2022-12-30 22:34:55.295,"Mourning Dove,Scaly-Breasted Munia"
