anonymized_latitude,anonymized_longitude,timestamp,species_name
21.348743,-157.78471,2022-12-06 17:30:00.987,Red-Crested Cardinal
21.348743,-157.78471,2022-12-06 17:30:02.292,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:35:12.484,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:35:12.537,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:35:12.655,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:35:29.440,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:35:40.597,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:35:44.984,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:35:50.781,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:36:02.316,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:36:03.201,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 03:36:36.099,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 17:17:19.832,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 17:17:20.149,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 17:17:21.572,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 17:17:22.527,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 17:17:24.491,Red-Crested Cardinal
21.50114,-157.96959,2022-12-11 17:59:04.406,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 20:54:51.951,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 20:54:54.777,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 20:54:55.172,Red-Crested Cardinal
21.446512,-157.98709,2022-12-11 20:54:59.032,Red-Crested Cardinal
21.394365,-158.00233,2022-12-11 21:57:51.597,Red-Crested Cardinal
21.394365,-158.00233,2022-12-11 21:57:55.075,Red-Crested Cardinal
21.394365,-158.00233,2022-12-11 21:58:03.255,Red-Crested Cardinal
