anonymized_latitude,anonymized_longitude,timestamp,species_name
30.529924,-90.37653,2022-12-01 12:28:08.339,Winter Wren
41.72661,-71.512665,2022-12-01 12:40:03.122,Winter Wren
40.91729,-74.02764,2022-12-01 17:13:16.023,Winter Wren
39.33826,-76.508064,2022-12-01 17:48:07.057,Winter Wren
41.491436,-81.41429,2022-12-01 18:12:15.777,Winter Wren
41.972507,-87.67916,2022-12-01 21:18:30.842,Winter Wren
38.95595,-77.54463,2022-12-01 21:30:07.264,Winter Wren
36.20828,-86.44003,2022-12-01 22:23:10.338,Winter Wren
36.153873,-79.794655,2022-12-02 12:46:33.690,Winter Wren
39.191612,-84.42873,2022-12-02 17:20:39.271,Winter Wren
35.765903,-78.96037,2022-12-02 17:51:22.027,Winter Wren
35.97258,-84.00694,2022-12-02 21:13:17.489,Winter Wren
35.91816,-80.094345,2022-12-03 12:34:47.731,Winter Wren
40.91729,-74.02764,2022-12-03 12:38:00.339,Winter Wren
41.11744,-74.33334,2022-12-03 13:41:32.659,Winter Wren
38.338936,-85.68489,2022-12-03 14:44:23.034,Winter Wren
40.383324,-79.91659,2022-12-03 16:50:54.382,Winter Wren
35.947777,-78.54703,2022-12-03 17:03:11.719,Winter Wren
40.93399,-72.97065,2022-12-03 17:40:43.335,Winter Wren
38.91168,-77.596634,2022-12-03 18:48:18.757,Winter Wren
40.121502,-82.95366,2022-12-04 14:24:53.892,Winter Wren
43.096127,-87.91949,2022-12-04 15:54:01.902,Winter Wren
44.87528,-92.99153,2022-12-04 17:17:34.190,Winter Wren
41.755253,-71.19095,2022-12-04 18:56:55.774,Winter Wren
41.910408,-91.64231,2022-12-04 19:54:26.267,Winter Wren
40.337612,-75.19623,2022-12-04 20:44:25.322,Winter Wren
41.392704,-72.86055,2022-12-04 21:01:18.617,Winter Wren
43.076366,-71.14646,2022-12-05 12:15:05.235,Winter Wren
41.605343,-93.41965,2022-12-05 14:46:59.102,Winter Wren
39.013565,-76.59365,2022-12-05 15:40:23.377,Winter Wren
40.869297,-74.63207,2022-12-05 17:21:20.306,Winter Wren
33.670605,-84.365456,2022-12-05 18:35:18.996,Winter Wren
40.198193,-75.39747,2022-12-05 20:07:39.292,Winter Wren
38.846878,-77.25736,2022-12-05 20:31:19.801,Winter Wren
35.94373,-78.6637,2022-12-06 12:15:59.940,Winter Wren
37.80853,-97.83331,2022-12-06 12:43:39.671,Winter Wren
37.80853,-97.83331,2022-12-06 12:43:41.188,Winter Wren
40.15757,-74.76189,2022-12-06 12:48:45.002,Winter Wren
42.430847,-83.24656,2022-12-06 13:19:12.487,Winter Wren
40.44228,-75.35546,2022-12-06 15:40:40.763,Winter Wren
41.660465,-73.833244,2022-12-06 16:34:39.860,Winter Wren
36.121178,-79.80115,2022-12-06 18:12:59.086,Winter Wren
35.981525,-78.4409,2022-12-06 18:44:47.242,Winter Wren
40.13538,-75.49074,2022-12-06 20:34:31.215,Winter Wren
38.97574,-77.46741,2022-12-06 21:01:12.760,Winter Wren
38.97574,-77.46741,2022-12-06 21:01:12.939,Winter Wren
38.97574,-77.46741,2022-12-06 21:01:14.790,Winter Wren
35.995926,-78.96548,2022-12-07 14:33:42.794,Winter Wren
41.86779,-88.277824,2022-12-07 15:00:42.395,Winter Wren
42.65777,-73.00531,2022-12-07 16:28:25.037,Winter Wren
38.514156,-90.448456,2022-12-07 17:49:41.314,Winter Wren
40.745594,-74.18583,2022-12-07 18:16:07.953,Winter Wren
37.702522,-77.75124,2022-12-07 18:46:23.046,Winter Wren
40.26425,-74.44724,2022-12-07 18:56:59.306,Winter Wren
39.77858,-84.93337,2022-12-07 21:57:17.492,Winter Wren
38.88043,-77.056915,2022-12-08 14:53:14.004,Winter Wren
44.68652,-93.09373,2022-12-08 15:08:26.374,Winter Wren
40.719585,-74.271645,2022-12-08 15:32:56.123,Winter Wren
44.901836,-93.435425,2022-12-08 20:13:28.127,Winter Wren
42.730667,-74.06053,2022-12-09 14:25:53.692,Winter Wren
37.59731,-77.38521,2022-12-09 14:40:50.635,Winter Wren
40.43564,-80.16249,2022-12-09 17:48:24.618,Winter Wren
43.521168,-79.70828,2022-12-10 13:08:22.254,Winter Wren
41.525066,-74.05341,2022-12-10 13:30:00.856,Winter Wren
42.226482,-83.661316,2022-12-10 16:08:28.232,Winter Wren
43.37734,-70.96171,2022-12-10 16:13:09.734,Winter Wren
41.552685,-72.58679,2022-12-10 17:01:52.014,Winter Wren
39.527122,-76.52234,2022-12-10 17:36:13.076,Winter Wren
40.508137,-104.91809,2022-12-10 17:48:59.564,Winter Wren
40.17449,-75.12342,2022-12-10 20:15:37.451,Winter Wren
43.113724,-88.15134,2022-12-10 20:27:05.224,Winter Wren
41.727753,-87.984665,2022-12-10 20:33:00.356,Winter Wren
36.03447,-78.85717,2022-12-11 12:42:46.575,Winter Wren
40.973022,-74.73793,2022-12-11 14:09:18.574,Winter Wren
41.660465,-73.833244,2022-12-11 16:17:51.976,Winter Wren
41.44653,-73.29169,2022-12-11 16:22:28.185,Winter Wren
39.380627,-76.67787,2022-12-11 16:55:52.557,Winter Wren
43.064953,-88.29239,2022-12-11 17:34:10.097,Winter Wren
35.814625,-78.78695,2022-12-11 17:34:21.795,Winter Wren
39.36795,-76.59328,2022-12-12 13:23:39.834,Winter Wren
42.860023,-71.075935,2022-12-12 13:57:04.500,Winter Wren
40.20438,-74.74441,2022-12-12 16:00:23.771,Winter Wren
36.13515,-86.71972,2022-12-12 16:46:55.350,Winter Wren
36.080624,-95.95549,2022-12-12 21:31:13.423,Winter Wren
37.779762,-89.24396,2022-12-12 22:06:39.430,Winter Wren
38.838932,-90.63776,2022-12-13 13:07:42.934,Winter Wren
38.588135,-77.3882,2022-12-13 13:26:47.443,Winter Wren
40.404453,-79.90786,2022-12-13 18:53:49.377,Winter Wren
42.37824,-71.23555,2022-12-13 19:04:28.828,Winter Wren
43.588886,-83.962975,2022-12-13 20:41:25.263,Winter Wren
38.722904,-77.05863,2022-12-13 21:00:39.063,Winter Wren
39.899673,-75.72545,2022-12-14 12:53:56.352,Winter Wren
39.899673,-75.72545,2022-12-14 12:53:56.590,Winter Wren
38.112568,-85.556564,2022-12-14 14:47:30.549,Winter Wren
41.755253,-71.19095,2022-12-14 14:53:29.949,Winter Wren
33.991547,-84.6715,2022-12-14 18:16:51.478,Winter Wren
37.553196,-77.681244,2022-12-15 13:28:32.645,Winter Wren
35.999043,-78.862175,2022-12-15 13:31:43.833,Winter Wren
41.727753,-87.984665,2022-12-15 15:06:19.817,Winter Wren
41.819473,-72.691864,2022-12-15 17:06:24.028,Winter Wren
41.25161,-72.61868,2022-12-15 17:09:24.487,Winter Wren
43.113724,-88.15134,2022-12-15 18:23:41.864,Winter Wren
37.403107,-78.71341,2022-12-15 19:50:51.845,Winter Wren
34.001144,-83.35601,2022-12-15 19:53:52.100,Winter Wren
37.67138,-97.16516,2022-12-16 13:49:35.601,Winter Wren
41.25161,-72.61868,2022-12-16 14:33:33.481,Winter Wren
41.25161,-72.61868,2022-12-16 14:58:51.273,Winter Wren
42.343227,-83.314865,2022-12-16 15:01:41.863,Winter Wren
40.32746,-80.11587,2022-12-16 15:15:18.030,Winter Wren
42.44401,-71.61949,2022-12-16 15:40:03.419,Winter Wren
43.130207,-73.62989,2022-12-16 17:09:30.370,Winter Wren
42.166897,-72.51126,2022-12-16 17:56:39.349,Winter Wren
43.145367,-70.82053,2022-12-16 18:25:51.417,Winter Wren
42.392227,-71.022804,2022-12-16 18:35:52.662,Winter Wren
42.568607,-83.177864,2022-12-16 20:23:23.380,Winter Wren
39.299755,-76.82806,2022-12-16 21:54:43.693,Winter Wren
43.133423,-88.40346,2022-12-17 14:17:42.081,Winter Wren
39.71114,-75.531624,2022-12-17 14:40:48.289,Winter Wren
40.404453,-79.90786,2022-12-17 15:09:43.970,Winter Wren
39.178814,-77.24927,2022-12-17 16:27:47.908,Winter Wren
40.29069,-74.26677,2022-12-17 16:32:31.316,Winter Wren
40.404453,-79.90786,2022-12-17 16:34:08.425,Winter Wren
40.379143,-75.06796,2022-12-17 18:37:06.009,Winter Wren
43.6839,-79.66256,2022-12-17 21:01:58.735,Winter Wren
42.166897,-72.51126,2022-12-18 13:33:42.469,Winter Wren
42.37824,-71.23555,2022-12-18 15:38:48.067,Winter Wren
42.367493,-71.17369,2022-12-18 19:09:02.875,Winter Wren
34.4931,-85.00884,2022-12-18 19:09:03.020,Winter Wren
40.785046,-81.43351,2022-12-18 20:51:06.615,Winter Wren
40.404453,-79.90786,2022-12-18 20:52:48.902,Winter Wren
39.938843,-74.83183,2022-12-19 13:30:27.620,Winter Wren
36.613697,-88.48724,2022-12-19 15:21:29.969,Winter Wren
33.88103,-84.57674,2022-12-19 17:49:28.752,Winter Wren
36.303795,-86.562256,2022-12-19 20:49:53.068,Winter Wren
34.14855,-84.4761,2022-12-19 22:03:24.192,Winter Wren
42.197147,-71.180695,2022-12-20 15:22:06.285,Winter Wren
43.342464,-80.36419,2022-12-20 19:02:51.586,Winter Wren
42.256287,-71.63292,2022-12-20 20:19:59.030,Winter Wren
35.511383,-79.18477,2022-12-21 12:31:35.658,Winter Wren
40.33147,-75.02726,2022-12-21 13:17:26.541,Winter Wren
39.173187,-83.757835,2022-12-21 15:00:19.939,Winter Wren
40.36101,-74.00177,2022-12-21 17:54:35.381,Winter Wren
40.94145,-73.256775,2022-12-21 18:31:03.057,Winter Wren
38.08714,-79.16152,2022-12-21 20:36:28.617,Winter Wren
38.890625,-77.35996,2022-12-22 12:38:15.377,Winter Wren
39.36333,-76.678444,2022-12-22 12:41:03.773,Winter Wren
39.259365,-75.571556,2022-12-22 12:41:30.597,Winter Wren
41.82201,-72.611015,2022-12-22 13:06:03.078,Winter Wren
35.93453,-86.707146,2022-12-22 13:36:08.485,Winter Wren
38.913986,-94.651405,2022-12-22 14:06:00.313,Winter Wren
35.788532,-81.2544,2022-12-22 14:36:57.362,Winter Wren
40.044212,-75.59579,2022-12-22 15:10:10.691,Winter Wren
34.643906,-79.915924,2022-12-22 15:16:34.707,Winter Wren
39.975998,-76.93255,2022-12-22 16:00:09.540,Winter Wren
39.975998,-76.93255,2022-12-22 16:00:39.716,Winter Wren
38.97425,-92.44305,2022-12-22 16:45:06.517,Winter Wren
39.36333,-76.678444,2022-12-22 16:57:23.333,Winter Wren
40.91729,-74.02764,2022-12-22 17:51:17.637,Winter Wren
40.384304,-75.12003,2022-12-22 17:54:50.483,Winter Wren
39.133717,-76.67055,2022-12-22 18:23:29.701,Winter Wren
36.95632,-93.23424,2022-12-22 18:28:41.252,Winter Wren
40.652542,-74.31025,2022-12-22 20:19:35.846,Winter Wren
32.992367,-97.228035,2022-12-23 13:51:46.335,Winter Wren
40.491356,-82.87682,2022-12-23 14:44:04.556,Winter Wren
41.69056,-82.75225,2022-12-23 16:04:02.181,Winter Wren
36.135426,-80.348236,2022-12-23 17:27:10.682,Winter Wren
36.301376,-79.68886,2022-12-23 19:58:08.233,Winter Wren
42.775913,-84.55574,2022-12-23 21:07:45.799,Winter Wren
41.443913,-73.74814,2022-12-24 13:49:37.398,Winter Wren
42.728703,-72.0786,2022-12-24 15:44:06.163,Winter Wren
39.33768,-77.248695,2022-12-24 19:01:02.539,Winter Wren
30.649096,-81.55996,2022-12-24 19:56:08.406,Winter Wren
42.824253,-74.97078,2022-12-24 20:35:47.393,Winter Wren
32.904068,-97.02559,2022-12-24 20:45:28.819,Winter Wren
43.19089,-77.5512,2022-12-24 20:54:21.680,Winter Wren
39.53295,-75.74371,2022-12-25 14:57:34.344,Winter Wren
42.030396,-72.606804,2022-12-25 16:11:51.489,Winter Wren
41.031113,-73.541374,2022-12-25 17:18:42.530,Winter Wren
35.462727,-80.89968,2022-12-25 18:16:14.842,Winter Wren
41.62173,-85.68803,2022-12-25 20:06:42.822,Winter Wren
33.938896,-84.06661,2022-12-25 20:21:41.957,Winter Wren
40.092056,-75.1846,2022-12-26 13:11:58.771,Winter Wren
36.121178,-79.80115,2022-12-26 14:45:15.020,Winter Wren
39.136356,-77.153145,2022-12-26 14:45:15.443,Winter Wren
38.093708,-84.54716,2022-12-26 15:51:30.505,Winter Wren
39.939445,-76.8572,2022-12-26 16:15:45.274,Winter Wren
35.044384,-76.741104,2022-12-26 17:33:46.436,Winter Wren
36.112232,-80.26083,2022-12-26 17:43:21.246,Winter Wren
40.22772,-76.9514,2022-12-26 18:19:18.697,Winter Wren
41.25161,-72.61868,2022-12-26 18:53:20.690,Winter Wren
38.742256,-77.547356,2022-12-26 19:50:19.846,Winter Wren
38.80993,-77.37042,2022-12-26 20:52:15.753,Winter Wren
36.04883,-86.77405,2022-12-27 13:46:58.675,Winter Wren
41.755253,-71.19095,2022-12-27 14:05:16.931,Winter Wren
40.404453,-79.90786,2022-12-27 15:44:40.329,Winter Wren
40.526573,-75.48782,2022-12-27 16:11:51.517,Winter Wren
34.118244,-87.32277,2022-12-27 20:04:20.452,Winter Wren
42.30746,-84.16306,2022-12-27 21:17:56.085,Winter Wren
47.527473,-52.7239,2022-12-28 11:44:54.832,Winter Wren
39.753933,-84.21315,2022-12-28 13:11:36.367,Winter Wren
42.141727,-71.4022,2022-12-28 14:39:39.186,Winter Wren
40.12421,-75.14777,2022-12-28 16:53:27.114,Winter Wren
46.027718,-64.70937,2022-12-28 18:50:39.790,Winter Wren
38.85259,-77.278366,2022-12-28 18:51:26.250,Winter Wren
43.977474,-73.25329,2022-12-28 19:32:57.197,Winter Wren
39.987385,-82.90925,2022-12-28 21:01:40.716,Winter Wren
42.235943,-71.18517,2022-12-29 15:08:37.899,Winter Wren
34.759285,-92.42147,2022-12-29 17:29:58.107,Winter Wren
33.894997,-84.42236,2022-12-29 18:47:26.942,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.069,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.326,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.361,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.500,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.607,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.613,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.662,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.678,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.723,Winter Wren
43.82175,-79.287636,2022-12-29 19:54:25.891,Winter Wren
43.82175,-79.287636,2022-12-29 20:06:14.419,Winter Wren
43.82175,-79.287636,2022-12-29 20:06:14.680,Winter Wren
43.82175,-79.287636,2022-12-29 20:17:52.119,Winter Wren
