anonymized_latitude,anonymized_longitude,timestamp,species_name
35.752598,-78.89851,2022-11-08 20:29:51.108,"Common Grackle,Eastern Bluebird"
38.93351,-77.07546,2022-11-13 20:42:18.301,"Common Grackle,Eastern Bluebird"
42.49942,-83.83476,2022-11-18 17:02:25.072,"Common Grackle,Eastern Bluebird"
42.49942,-83.83476,2022-11-18 17:03:00.594,"Common Grackle,Eastern Bluebird"
43.752876,-70.30999,2022-11-20 19:42:05.502,"Common Grackle,Eastern Bluebird"
43.939526,-73.13876,2022-11-21 14:08:33.442,"Common Grackle,Eastern Bluebird"
43.939526,-73.13876,2022-11-21 20:16:29.817,"Common Grackle,Eastern Bluebird"
36.59776,-76.17892,2022-11-21 20:28:57.602,"Common Grackle,Eastern Bluebird"
42.936058,-71.1228,2022-11-27 16:59:21.565,"Common Grackle,Eastern Bluebird"
39.837505,-76.63945,2022-11-30 13:32:16.818,"Common Grackle,Eastern Bluebird"
43.939526,-73.13876,2022-11-30 15:09:33.368,"Common Grackle,Eastern Bluebird"
40.152664,-83.03779,2022-11-30 16:14:24.316,"Common Grackle,Eastern Bluebird"
39.908955,-74.70411,2022-11-30 16:41:51.737,"Common Grackle,Eastern Bluebird"
43.939526,-73.13876,2022-11-30 17:33:36.639,"Common Grackle,Eastern Bluebird"
43.939526,-73.13876,2022-11-30 17:33:39.022,"Common Grackle,Eastern Bluebird"
35.432262,-80.91253,2022-11-30 17:36:07.490,"Common Grackle,Eastern Bluebird"
