anonymized_latitude,anonymized_longitude,timestamp,species_name
40.711838,-73.164795,2022-11-01 12:22:43.670,Common Waxbill
40.711838,-73.164795,2022-11-01 12:22:43.742,Common Waxbill
30.599577,-81.42156,2022-11-01 12:42:24.390,Common Waxbill
40.711838,-73.164795,2022-11-01 17:27:54.790,Common Waxbill
40.711838,-73.164795,2022-11-01 17:27:54.953,Common Waxbill
40.711838,-73.164795,2022-11-01 17:32:23.466,Common Waxbill
40.711838,-73.164795,2022-11-01 17:32:23.834,Common Waxbill
40.711838,-73.164795,2022-11-01 17:32:24.071,Common Waxbill
40.711838,-73.164795,2022-11-01 20:10:28.867,Common Waxbill
40.711838,-73.164795,2022-11-01 20:10:31.822,Common Waxbill
40.711838,-73.164795,2022-11-01 20:10:31.849,Common Waxbill
40.711838,-73.164795,2022-11-01 20:10:31.885,Common Waxbill
40.711838,-73.164795,2022-11-01 20:10:31.917,Common Waxbill
40.711838,-73.164795,2022-11-01 20:10:35.303,Common Waxbill
30.599577,-81.42156,2022-11-02 14:51:18.801,Common Waxbill
47.674934,-122.35854,2022-11-03 18:34:44.161,Common Waxbill
47.674934,-122.35854,2022-11-03 20:44:21.233,Common Waxbill
48.387512,-123.38336,2022-11-03 21:46:05.744,Common Waxbill
30.599577,-81.42156,2022-11-03 22:40:58.668,Common Waxbill
30.599577,-81.42156,2022-11-03 22:40:58.785,Common Waxbill
30.599577,-81.42156,2022-11-03 22:41:02.163,Common Waxbill
30.599577,-81.42156,2022-11-03 22:46:05.753,Common Waxbill
47.674934,-122.35854,2022-11-05 22:04:58.451,Common Waxbill
48.426716,-123.32715,2022-11-06 15:44:26.548,Common Waxbill
47.50014,-122.41876,2022-11-06 22:39:17.479,Common Waxbill
47.50014,-122.41876,2022-11-06 22:39:21.110,Common Waxbill
47.291027,-122.53689,2022-11-07 21:45:19.864,Common Waxbill
47.291027,-122.53689,2022-11-07 22:30:40.286,Common Waxbill
47.291027,-122.53689,2022-11-07 22:30:40.302,Common Waxbill
33.976273,-77.83811,2022-11-08 20:28:40.706,Common Waxbill
48.426716,-123.32715,2022-11-08 20:47:02.344,Common Waxbill
47.50014,-122.41876,2022-11-08 21:24:45.319,Common Waxbill
47.50014,-122.41876,2022-11-08 21:39:36.166,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:01.975,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:01.996,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:02.563,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:02.626,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:02.676,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:06.373,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:09.257,Common Waxbill
33.976273,-77.83811,2022-11-09 12:00:09.566,Common Waxbill
33.976273,-77.83811,2022-11-09 17:18:38.159,Common Waxbill
47.661613,-122.443825,2022-11-09 20:21:46.303,Common Waxbill
48.450253,-123.487946,2022-11-09 20:23:12.028,Common Waxbill
48.450253,-123.487946,2022-11-09 20:23:12.208,Common Waxbill
48.450253,-123.487946,2022-11-09 20:23:29.020,Common Waxbill
48.450253,-123.487946,2022-11-09 23:58:43.326,Common Waxbill
47.53842,-122.54781,2022-11-10 00:06:19.023,Common Waxbill
40.752705,-73.92844,2022-11-10 15:36:14.651,Common Waxbill
40.752705,-73.92844,2022-11-10 15:36:14.710,Common Waxbill
40.752705,-73.92844,2022-11-10 17:31:23.968,Common Waxbill
40.752705,-73.92844,2022-11-10 17:31:25.115,Common Waxbill
40.752705,-73.92844,2022-11-10 17:31:26.317,Common Waxbill
48.39164,-123.60487,2022-11-10 17:31:49.826,Common Waxbill
48.39164,-123.60487,2022-11-10 17:31:51.919,Common Waxbill
47.50014,-122.41876,2022-11-10 19:35:05.520,Common Waxbill
32.679764,-117.32542,2022-11-10 20:15:56.878,Common Waxbill
40.752705,-73.92844,2022-11-10 20:17:37.499,Common Waxbill
