anonymized_latitude,anonymized_longitude,timestamp,species_name
36.443462,-93.42613,2022-11-09 13:08:56.293,"Fish Crow,Red-Winged Blackbird"
38.69841,-77.08715,2022-11-11 19:36:07.143,"Fish Crow,Red-Winged Blackbird"
38.69841,-77.08715,2022-11-11 19:36:09.466,"Fish Crow,Red-Winged Blackbird"
36.443462,-93.42613,2022-11-11 20:16:38.206,"Fish Crow,Red-Winged Blackbird"
33.22488,-96.65142,2022-11-14 20:16:40.774,"Fish Crow,Red-Winged Blackbird"
38.80993,-77.37042,2022-11-15 12:14:25.854,"Fish Crow,Red-Winged Blackbird"
35.78928,-78.53907,2022-11-15 13:48:55.360,"Fish Crow,Red-Winged Blackbird"
40.252777,-74.9981,2022-11-15 17:34:41.881,"Fish Crow,Red-Winged Blackbird"
39.334347,-74.679756,2022-11-16 12:24:07.069,"Fish Crow,Red-Winged Blackbird"
41.928627,-87.71195,2022-11-16 20:59:53.936,"Fish Crow,Red-Winged Blackbird"
30.348776,-90.89901,2022-11-17 13:38:27.885,"Fish Crow,Red-Winged Blackbird"
30.348776,-90.89901,2022-11-17 13:38:28.683,"Fish Crow,Red-Winged Blackbird"
38.602917,-76.99558,2022-11-17 21:12:58.340,"Fish Crow,Red-Winged Blackbird"
40.096268,-75.24646,2022-11-18 13:55:30.598,"Fish Crow,Red-Winged Blackbird"
26.440239,-80.15142,2022-11-20 18:12:56.297,"Fish Crow,Red-Winged Blackbird"
40.096268,-75.24646,2022-11-24 18:07:39.329,"Fish Crow,Red-Winged Blackbird"
33.942413,-78.0749,2022-11-25 19:26:35.628,"Fish Crow,Red-Winged Blackbird"
38.846878,-77.25736,2022-11-26 19:45:37.900,"Fish Crow,Red-Winged Blackbird"
42.38054,-82.86942,2022-11-26 19:53:09.585,"Fish Crow,Red-Winged Blackbird"
38.93351,-77.07546,2022-11-26 20:09:13.884,"Fish Crow,Red-Winged Blackbird"
26.440239,-80.15142,2022-11-28 13:19:54.056,"Fish Crow,Red-Winged Blackbird"
26.440239,-80.15142,2022-11-28 13:52:21.942,"Fish Crow,Red-Winged Blackbird"
26.440239,-80.15142,2022-11-28 14:10:46.806,"Fish Crow,Red-Winged Blackbird"
39.53295,-75.74371,2022-11-29 12:34:25.167,"Fish Crow,Red-Winged Blackbird"
37.860992,-92.25731,2022-11-30 20:33:37.158,"Fish Crow,Red-Winged Blackbird"
