anonymized_latitude,anonymized_longitude,timestamp,species_name
39.3277,-76.61507,2022-11-09 12:06:30.072,"Northern Cardinal,Pine Warbler"
39.424843,-76.71737,2022-11-10 12:35:58.539,"Northern Cardinal,Pine Warbler"
38.811104,-77.35099,2022-11-11 14:44:09.951,"Northern Cardinal,Pine Warbler"
41.53423,-81.835434,2022-11-11 19:19:45.018,"Northern Cardinal,Pine Warbler"
36.59776,-76.17892,2022-11-12 12:54:27.568,"Northern Cardinal,Pine Warbler"
39.36795,-76.59328,2022-11-13 14:43:22.657,"Northern Cardinal,Pine Warbler"
41.203327,-73.15727,2022-11-16 13:55:43.473,"Northern Cardinal,Pine Warbler"
42.824253,-74.97078,2022-11-17 16:28:12.931,"Northern Cardinal,Pine Warbler"
42.824253,-74.97078,2022-11-17 16:28:13.035,"Northern Cardinal,Pine Warbler"
42.35198,-71.072235,2022-11-17 19:29:07.995,"Northern Cardinal,Pine Warbler"
38.92905,-76.97848,2022-11-17 20:34:41.133,"Northern Cardinal,Pine Warbler"
39.899673,-75.72545,2022-11-19 12:39:21.594,"Northern Cardinal,Pine Warbler"
40.681507,-73.86618,2022-11-19 17:03:29.581,"Northern Cardinal,Pine Warbler"
39.009583,-77.08713,2022-11-19 19:44:12.611,"Northern Cardinal,Pine Warbler"
39.24968,-76.76527,2022-11-20 12:18:06.624,"Northern Cardinal,Pine Warbler"
39.36795,-76.59328,2022-11-20 14:15:45.285,"Northern Cardinal,Pine Warbler"
40.413277,-79.973915,2022-11-20 15:22:26.286,"Northern Cardinal,Pine Warbler"
38.78814,-77.148094,2022-11-21 14:18:54.154,"Northern Cardinal,Pine Warbler"
38.857666,-77.251396,2022-11-22 14:45:51.532,"Northern Cardinal,Pine Warbler"
40.014492,-74.1903,2022-11-23 15:22:38.504,"Northern Cardinal,Pine Warbler"
40.6806,-74.35712,2022-11-25 13:22:13.960,"Northern Cardinal,Pine Warbler"
38.859875,-77.0048,2022-11-27 14:10:08.586,"Northern Cardinal,Pine Warbler"
35.853912,-78.78147,2022-11-27 17:47:56.912,"Northern Cardinal,Pine Warbler"
41.230553,-73.26774,2022-11-27 19:05:56.272,"Northern Cardinal,Pine Warbler"
38.978786,-77.1125,2022-11-28 15:07:01.482,"Northern Cardinal,Pine Warbler"
42.56515,-70.86619,2022-11-28 15:32:52.505,"Northern Cardinal,Pine Warbler"
42.821514,-78.76333,2022-11-28 15:46:20.684,"Northern Cardinal,Pine Warbler"
40.915043,-73.87409,2022-11-28 16:37:42.178,"Northern Cardinal,Pine Warbler"
42.56515,-70.86619,2022-11-28 19:11:56.200,"Northern Cardinal,Pine Warbler"
39.36795,-76.59328,2022-11-29 17:52:17.721,"Northern Cardinal,Pine Warbler"
40.6806,-74.35712,2022-11-29 19:23:00.103,"Northern Cardinal,Pine Warbler"
39.36333,-76.678444,2022-11-30 13:12:35.944,"Northern Cardinal,Pine Warbler"
40.04355,-75.02327,2022-11-30 16:21:25.534,"Northern Cardinal,Pine Warbler"
