anonymized_latitude,anonymized_longitude,timestamp,species_name
41.324024,-75.6278,2022-11-01 11:54:42.476,Red-Headed Woodpecker
44.09031,-73.23766,2022-11-01 12:19:47.333,Red-Headed Woodpecker
36.301376,-79.68886,2022-11-01 12:21:48.255,Red-Headed Woodpecker
45.388954,-75.82386,2022-11-01 12:25:50.526,Red-Headed Woodpecker
39.28508,-74.74727,2022-11-01 12:43:32.273,Red-Headed Woodpecker
41.47072,-71.82566,2022-11-01 12:45:40.974,Red-Headed Woodpecker
38.663048,-90.412704,2022-11-01 12:54:44.394,Red-Headed Woodpecker
41.211555,-73.67859,2022-11-01 13:19:35.349,Red-Headed Woodpecker
37.80853,-97.83331,2022-11-01 13:20:45.690,Red-Headed Woodpecker
42.82323,-71.424576,2022-11-01 13:24:16.702,Red-Headed Woodpecker
43.74099,-70.19486,2022-11-01 14:46:02.671,Red-Headed Woodpecker
40.633377,-80.116714,2022-11-01 14:49:14.233,Red-Headed Woodpecker
29.751278,-82.56916,2022-11-01 15:51:24.095,Red-Headed Woodpecker
41.26992,-73.55342,2022-11-01 15:56:28.587,Red-Headed Woodpecker
40.014492,-74.1903,2022-11-01 17:09:38.854,Red-Headed Woodpecker
38.69841,-77.08715,2022-11-01 17:16:41.546,Red-Headed Woodpecker
40.849506,-81.87105,2022-11-01 18:00:46.365,Red-Headed Woodpecker
42.920773,-73.817314,2022-11-01 18:22:14.916,Red-Headed Woodpecker
41.215748,-80.65643,2022-11-01 21:08:48.014,Red-Headed Woodpecker
41.289566,-81.584656,2022-11-01 21:33:35.336,Red-Headed Woodpecker
42.118004,-72.83287,2022-11-01 21:46:15.769,Red-Headed Woodpecker
38.09903,-75.48434,2022-11-02 11:35:35.927,Red-Headed Woodpecker
40.404453,-79.90786,2022-11-02 11:46:01.367,Red-Headed Woodpecker
41.16816,-75.58744,2022-11-02 12:14:44.777,Red-Headed Woodpecker
42.414284,-79.29101,2022-11-02 12:25:50.293,Red-Headed Woodpecker
43.3374,-79.711525,2022-11-02 13:10:14.276,Red-Headed Woodpecker
40.404453,-79.90786,2022-11-02 13:27:29.858,Red-Headed Woodpecker
42.824253,-74.97078,2022-11-02 16:01:52.357,Red-Headed Woodpecker
