anonymized_latitude,anonymized_longitude,timestamp,species_name
-35.21991,149.08202,2023-01-21 04:37:06.471,Australian Magpie
-35.21991,149.08202,2023-01-21 04:37:07.107,Australian Magpie
-35.21991,149.08202,2023-01-21 04:37:07.123,Australian Magpie
-35.21991,149.08202,2023-01-21 04:37:07.146,Australian Magpie
-35.21991,149.08202,2023-01-21 05:14:04.072,Australian Magpie
-35.21991,149.08202,2023-01-21 05:14:04.525,Australian Magpie
-35.21991,149.08202,2023-01-21 22:36:58.138,Australian Magpie
-27.485647,153.08011,2023-01-22 04:03:42.605,Australian Magpie
-27.485647,153.08011,2023-01-22 04:03:45.495,Australian Magpie
-27.485647,153.08011,2023-01-22 04:51:53.587,Australian Magpie
-27.485647,153.08011,2023-01-22 05:46:20.813,Australian Magpie
-37.855618,144.99344,2023-01-22 06:47:38.980,Australian Magpie
-27.485647,153.08011,2023-01-23 04:59:52.318,Australian Magpie
-35.21991,149.08202,2023-01-23 21:00:10.607,Australian Magpie
-35.21991,149.08202,2023-01-23 21:04:04.301,Australian Magpie
-35.21991,149.08202,2023-01-23 21:04:21.726,Australian Magpie
-35.21991,149.08202,2023-01-23 21:04:22.394,Australian Magpie
-27.485647,153.08011,2023-01-23 23:48:42.908,Australian Magpie
-27.485647,153.08011,2023-01-23 23:48:43.189,Australian Magpie
-27.485647,153.08011,2023-01-24 06:01:53.584,Australian Magpie
-27.485647,153.08011,2023-01-24 06:01:54.170,Australian Magpie
-27.485647,153.08011,2023-01-24 06:01:55.067,Australian Magpie
-27.485647,153.08011,2023-01-24 06:01:55.202,Australian Magpie
-27.485647,153.08011,2023-01-24 06:01:55.872,Australian Magpie
-27.485647,153.08011,2023-01-24 06:01:55.877,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:53.034,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:52.993,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:53.365,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:53.581,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:53.760,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:54.084,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:55.198,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:55.355,Australian Magpie
-35.21991,149.08202,2023-01-24 06:19:55.444,Australian Magpie
-34.98031,138.54373,2023-01-24 07:07:45.471,Australian Magpie
-31.990055,116.129814,2023-01-25 00:50:18.136,Australian Magpie
-31.990055,116.129814,2023-01-25 00:50:18.617,Australian Magpie
-31.990055,116.129814,2023-01-25 00:50:21.011,Australian Magpie
-31.990055,116.129814,2023-01-25 00:50:21.008,Australian Magpie
-31.990055,116.129814,2023-01-25 00:50:21.017,Australian Magpie
-31.990055,116.129814,2023-01-25 00:50:21.033,Australian Magpie
-31.990055,116.129814,2023-01-25 02:12:28.917,Australian Magpie
-31.990055,116.129814,2023-01-25 02:12:30.445,Australian Magpie
-31.990055,116.129814,2023-01-25 02:12:31.005,Australian Magpie
