anonymized_latitude,anonymized_longitude,timestamp,species_name
33.26161,-116.93237,2023-01-20 00:40:22.822,Bronzed Cowbird
30.098978,-95.22019,2023-01-20 13:54:13.975,Bronzed Cowbird
26.240286,-98.28184,2023-01-20 14:03:32.609,Bronzed Cowbird
26.240286,-98.28184,2023-01-20 14:03:32.782,Bronzed Cowbird
30.054394,-95.46164,2023-01-20 14:08:58.954,Bronzed Cowbird
30.054394,-95.46164,2023-01-20 14:08:59.515,Bronzed Cowbird
30.054394,-95.46164,2023-01-20 14:08:59.944,Bronzed Cowbird
31.970186,-99.96686,2023-01-20 14:34:11.488,Bronzed Cowbird
32.18936,-111.074135,2023-01-20 14:37:45.592,Bronzed Cowbird
30.064032,-95.56468,2023-01-20 14:47:14.576,Bronzed Cowbird
29.891281,-95.88707,2023-01-20 15:00:34.589,Bronzed Cowbird
29.891281,-95.88707,2023-01-20 15:00:34.956,Bronzed Cowbird
32.27276,-110.73779,2023-01-20 15:23:20.809,Bronzed Cowbird
29.758778,-98.01143,2023-01-20 15:40:57.542,Bronzed Cowbird
29.729307,-98.522224,2023-01-20 16:12:57.068,Bronzed Cowbird
32.729298,-97.48685,2023-01-20 17:06:53.085,Bronzed Cowbird
32.283546,-110.94764,2023-01-20 17:16:49.182,Bronzed Cowbird
31.559502,-110.21377,2023-01-20 17:17:16.905,Bronzed Cowbird
33.670635,-111.92534,2023-01-20 18:01:48.063,Bronzed Cowbird
29.729307,-98.522224,2023-01-20 18:31:09.072,Bronzed Cowbird
29.874456,-98.40276,2023-01-20 18:32:22.030,Bronzed Cowbird
33.498512,-111.7525,2023-01-20 18:58:53.471,Bronzed Cowbird
19.38697,-99.22147,2023-01-20 19:27:56.935,Bronzed Cowbird
19.38697,-99.22147,2023-01-20 19:27:56.970,Bronzed Cowbird
30.64577,-98.49976,2023-01-20 20:16:51.879,Bronzed Cowbird
33.629093,-112.414734,2023-01-20 20:34:50.745,Bronzed Cowbird
29.729307,-98.522224,2023-01-20 20:34:52.324,Bronzed Cowbird
29.729307,-98.522224,2023-01-20 20:34:52.566,Bronzed Cowbird
31.559502,-110.21377,2023-01-20 20:36:25.800,Bronzed Cowbird
30.377174,-89.12298,2023-01-20 20:47:04.604,Bronzed Cowbird
29.690187,-98.61741,2023-01-20 21:02:42.024,Bronzed Cowbird
33.369095,-111.891075,2023-01-20 21:30:09.526,Bronzed Cowbird
33.369095,-111.891075,2023-01-20 21:30:10.518,Bronzed Cowbird
27.504688,-99.44181,2023-01-20 21:37:29.820,Bronzed Cowbird
33.369095,-111.891075,2023-01-20 22:18:41.285,Bronzed Cowbird
29.266167,-99.79361,2023-01-20 22:21:57.397,Bronzed Cowbird
29.758778,-98.01143,2023-01-20 22:44:59.023,Bronzed Cowbird
32.510212,-110.94809,2023-01-20 22:49:42.973,Bronzed Cowbird
33.629093,-112.414734,2023-01-20 23:24:58.264,Bronzed Cowbird
32.513206,-97.356766,2023-01-20 23:29:12.255,Bronzed Cowbird
