anonymized_latitude,anonymized_longitude,timestamp,species_name
-35.336906,149.18938,2023-01-20 01:54:33.195,Eastern Rosella
-35.336906,149.18938,2023-01-20 02:57:56.978,Eastern Rosella
-35.336906,149.18938,2023-01-20 02:57:57.685,Eastern Rosella
-38.45388,145.13197,2023-01-20 05:32:22.292,Eastern Rosella
-38.45388,145.13197,2023-01-20 05:32:22.507,Eastern Rosella
-38.45388,145.13197,2023-01-20 05:32:22.530,Eastern Rosella
-38.45388,145.13197,2023-01-20 05:32:22.703,Eastern Rosella
-38.45388,145.13197,2023-01-20 05:32:23.022,Eastern Rosella
-35.336906,149.18938,2023-01-20 06:08:06.171,Eastern Rosella
-38.45388,145.13197,2023-01-20 07:35:51.556,Eastern Rosella
-38.45388,145.13197,2023-01-20 07:35:51.767,Eastern Rosella
-38.45388,145.13197,2023-01-20 07:35:51.884,Eastern Rosella
-38.45388,145.13197,2023-01-20 07:35:51.931,Eastern Rosella
-38.45388,145.13197,2023-01-20 07:35:52.305,Eastern Rosella
-38.45388,145.13197,2023-01-20 07:35:52.363,Eastern Rosella
-38.45388,145.13197,2023-01-20 07:35:52.827,Eastern Rosella
-38.45388,145.13197,2023-01-20 09:16:55.122,Eastern Rosella
-38.45388,145.13197,2023-01-20 09:16:55.153,Eastern Rosella
-38.45388,145.13197,2023-01-20 09:16:55.433,Eastern Rosella
-38.45388,145.13197,2023-01-20 09:16:55.466,Eastern Rosella
-38.45388,145.13197,2023-01-20 19:38:30.600,Eastern Rosella
-38.45388,145.13197,2023-01-20 20:41:18.935,Eastern Rosella
-38.45388,145.13197,2023-01-20 20:41:50.114,Eastern Rosella
-41.35619,147.13274,2023-01-21 02:23:48.973,Eastern Rosella
-38.45388,145.13197,2023-01-21 05:30:36.058,Eastern Rosella
-38.45388,145.13197,2023-01-21 05:30:37.903,Eastern Rosella
-38.45388,145.13197,2023-01-21 19:38:16.758,Eastern Rosella
-38.45388,145.13197,2023-01-21 19:38:16.875,Eastern Rosella
-38.45388,145.13197,2023-01-21 19:38:23.881,Eastern Rosella
-38.45388,145.13197,2023-01-22 02:06:26.696,Eastern Rosella
-38.45388,145.13197,2023-01-22 02:06:27.715,Eastern Rosella
-38.45388,145.13197,2023-01-22 02:06:27.717,Eastern Rosella
-38.45388,145.13197,2023-01-22 02:06:27.831,Eastern Rosella
-38.45388,145.13197,2023-01-22 02:06:28.312,Eastern Rosella
-38.45388,145.13197,2023-01-22 02:06:28.795,Eastern Rosella
-38.45388,145.13197,2023-01-22 06:26:21.896,Eastern Rosella
-38.45388,145.13197,2023-01-22 06:26:23.026,Eastern Rosella
-38.45388,145.13197,2023-01-22 06:26:23.032,Eastern Rosella
-38.45388,145.13197,2023-01-22 06:26:23.175,Eastern Rosella
-38.45388,145.13197,2023-01-22 08:46:40.432,Eastern Rosella
-38.45388,145.13197,2023-01-22 08:46:42.260,Eastern Rosella
-38.45388,145.13197,2023-01-22 09:22:32.987,Eastern Rosella
-38.45388,145.13197,2023-01-22 09:22:33.931,Eastern Rosella
-38.45388,145.13197,2023-01-22 09:22:33.986,Eastern Rosella
-38.45388,145.13197,2023-01-22 09:22:34.968,Eastern Rosella
-38.45388,145.13197,2023-01-22 09:22:36.136,Eastern Rosella
-38.45388,145.13197,2023-01-22 09:22:36.217,Eastern Rosella
-38.45388,145.13197,2023-01-22 09:22:36.295,Eastern Rosella
-38.45388,145.13197,2023-01-22 20:55:38.053,Eastern Rosella
-35.336906,149.18938,2023-01-22 22:03:18.390,Eastern Rosella
-38.45388,145.13197,2023-01-23 00:44:55.408,Eastern Rosella
-38.45388,145.13197,2023-01-23 00:44:55.441,Eastern Rosella
-38.45388,145.13197,2023-01-23 00:44:56.509,Eastern Rosella
-38.45388,145.13197,2023-01-23 00:44:56.535,Eastern Rosella
-35.336906,149.18938,2023-01-23 03:42:20.357,Eastern Rosella
-38.45388,145.13197,2023-01-23 03:57:12.908,Eastern Rosella
-38.45388,145.13197,2023-01-23 03:57:12.938,Eastern Rosella
-38.45388,145.13197,2023-01-23 03:57:14.141,Eastern Rosella
-38.45388,145.13197,2023-01-23 03:57:14.176,Eastern Rosella
-38.45388,145.13197,2023-01-23 03:57:14.233,Eastern Rosella
-38.45388,145.13197,2023-01-23 03:57:14.799,Eastern Rosella
-38.45388,145.13197,2023-01-23 03:57:15.273,Eastern Rosella
-38.45388,145.13197,2023-01-23 04:17:32.492,Eastern Rosella
-38.45388,145.13197,2023-01-23 04:17:32.589,Eastern Rosella
-38.45388,145.13197,2023-01-23 04:17:32.826,Eastern Rosella
-38.45388,145.13197,2023-01-23 04:17:33.141,Eastern Rosella
-38.45388,145.13197,2023-01-23 04:17:33.244,Eastern Rosella
-38.45388,145.13197,2023-01-23 08:24:07.038,Eastern Rosella
-38.45388,145.13197,2023-01-23 08:24:08.616,Eastern Rosella
-38.45388,145.13197,2023-01-24 03:42:01.344,Eastern Rosella
