anonymized_latitude,anonymized_longitude,timestamp,species_name
50.072395,15.844723,2023-01-20 10:46:30.697,"Eurasian Tree Sparrow,Hooded Crow"
50.072395,15.844723,2023-01-20 10:46:30.708,"Eurasian Tree Sparrow,Hooded Crow"
49.02831,15.27856,2023-01-20 13:56:22.008,"Eurasian Tree Sparrow,Hooded Crow"
48.158546,16.313726,2023-01-22 11:09:17.201,"Eurasian Tree Sparrow,Hooded Crow"
48.158546,16.313726,2023-01-23 09:58:34.344,"Eurasian Tree Sparrow,Hooded Crow"
50.130566,14.446967,2023-01-23 11:55:17.708,"Eurasian Tree Sparrow,Hooded Crow"
47.689423,16.482323,2023-01-25 10:50:02.923,"Eurasian Tree Sparrow,Hooded Crow"
44.72416,26.103136,2023-01-27 10:58:33.616,"Eurasian Tree Sparrow,Hooded Crow"
44.72416,26.103136,2023-01-28 09:27:31.283,"Eurasian Tree Sparrow,Hooded Crow"
45.84149,16.275406,2023-01-28 10:05:13.822,"Eurasian Tree Sparrow,Hooded Crow"
56.288055,9.968062,2023-01-28 11:16:23.840,"Eurasian Tree Sparrow,Hooded Crow"
47.387432,16.213976,2023-01-28 14:13:11.678,"Eurasian Tree Sparrow,Hooded Crow"
56.288055,9.968062,2023-01-28 14:51:57.782,"Eurasian Tree Sparrow,Hooded Crow"
46.395794,15.446712,2023-01-28 14:52:15.122,"Eurasian Tree Sparrow,Hooded Crow"
46.04173,14.5547695,2023-01-29 07:53:14.584,"Eurasian Tree Sparrow,Hooded Crow"
50.19824,14.296724,2023-01-29 11:11:38.404,"Eurasian Tree Sparrow,Hooded Crow"
49.333004,16.716143,2023-01-29 13:04:24.233,"Eurasian Tree Sparrow,Hooded Crow"
54.800392,9.383117,2023-01-31 09:32:24.977,"Eurasian Tree Sparrow,Hooded Crow"
56.288055,9.968062,2023-01-31 12:41:22.819,"Eurasian Tree Sparrow,Hooded Crow"
56.288055,9.968062,2023-01-31 12:41:23.002,"Eurasian Tree Sparrow,Hooded Crow"
54.800392,9.383117,2023-01-12 08:32:17.428,"Eurasian Tree Sparrow,Hooded Crow"
56.187607,10.318444,2023-01-13 09:55:19.028,"Eurasian Tree Sparrow,Hooded Crow"
48.158546,16.313726,2023-01-14 15:07:02.196,"Eurasian Tree Sparrow,Hooded Crow"
56.288055,9.968062,2023-01-15 10:02:32.987,"Eurasian Tree Sparrow,Hooded Crow"
55.60985,12.55748,2023-01-18 10:45:02.179,"Eurasian Tree Sparrow,Hooded Crow"
48.158546,16.313726,2023-01-19 12:10:56.651,"Eurasian Tree Sparrow,Hooded Crow"
56.288055,9.968062,2023-01-19 15:04:20.617,"Eurasian Tree Sparrow,Hooded Crow"
50.072395,15.844723,2023-01-08 10:07:42.758,"Eurasian Tree Sparrow,Hooded Crow"
