anonymized_latitude,anonymized_longitude,timestamp,species_name
33.93865,-84.723976,2023-01-21 13:47:58.304,"Field Sparrow,Tufted Titmouse"
42.454655,-71.28352,2023-01-21 16:01:03.685,"Field Sparrow,Tufted Titmouse"
39.044403,-84.45532,2023-01-23 22:06:15.866,"Field Sparrow,Tufted Titmouse"
41.28829,-81.34704,2023-01-26 16:59:40.524,"Field Sparrow,Tufted Titmouse"
42.725487,-86.19656,2023-01-29 13:50:36.382,"Field Sparrow,Tufted Titmouse"
35.145103,-79.02814,2023-01-31 18:30:11.411,"Field Sparrow,Tufted Titmouse"
38.96528,-75.47701,2023-01-31 21:07:41.306,"Field Sparrow,Tufted Titmouse"
41.708282,-80.70401,2023-01-10 13:38:15.893,"Field Sparrow,Tufted Titmouse"
41.972507,-87.67916,2023-01-11 14:23:51.939,"Field Sparrow,Tufted Titmouse"
39.168102,-84.4717,2023-01-12 15:07:18.134,"Field Sparrow,Tufted Titmouse"
33.467537,-80.803116,2023-01-14 18:35:04.865,"Field Sparrow,Tufted Titmouse"
34.457504,-84.55873,2023-01-16 17:47:07.835,"Field Sparrow,Tufted Titmouse"
33.547184,-86.770035,2023-01-17 18:25:01.787,"Field Sparrow,Tufted Titmouse"
34.679226,-77.07554,2023-01-18 21:04:49.111,"Field Sparrow,Tufted Titmouse"
38.616028,-90.352486,2023-01-01 17:25:05.333,"Field Sparrow,Tufted Titmouse"
33.382,-84.63101,2023-01-02 13:35:56.104,"Field Sparrow,Tufted Titmouse"
34.8781,-84.27691,2023-01-05 15:51:10.071,"Field Sparrow,Tufted Titmouse"
38.58665,-90.46073,2023-01-05 17:08:56.845,"Field Sparrow,Tufted Titmouse"
40.043957,-86.01646,2023-01-05 21:11:13.314,"Field Sparrow,Tufted Titmouse"
41.813156,-72.394684,2023-01-06 14:50:31.878,"Field Sparrow,Tufted Titmouse"
39.183247,-84.29654,2023-01-06 18:36:06.741,"Field Sparrow,Tufted Titmouse"
