anonymized_latitude,anonymized_longitude,timestamp,species_name
42.23826,-85.848656,2023-01-20 19:48:34.105,"Fox Sparrow,House Sparrow"
38.989857,-77.10216,2023-01-21 14:33:39.637,"Fox Sparrow,House Sparrow"
39.852177,-74.77586,2023-01-22 17:38:50.588,"Fox Sparrow,House Sparrow"
46.188553,-119.10798,2023-01-22 20:16:39.397,"Fox Sparrow,House Sparrow"
42.526917,-82.89843,2023-01-22 20:32:25.723,"Fox Sparrow,House Sparrow"
42.379547,-83.16815,2023-01-22 21:01:30.855,"Fox Sparrow,House Sparrow"
31.689049,-94.607994,2023-01-22 21:57:10.562,"Fox Sparrow,House Sparrow"
38.929245,-77.11174,2023-01-23 13:00:46.848,"Fox Sparrow,House Sparrow"
33.646652,-117.70556,2023-01-23 16:02:57.616,"Fox Sparrow,House Sparrow"
39.987385,-82.90925,2023-01-24 18:15:16.607,"Fox Sparrow,House Sparrow"
40.79307,-73.65119,2023-01-24 20:59:33.253,"Fox Sparrow,House Sparrow"
38.63285,-90.687,2023-01-25 15:17:02.982,"Fox Sparrow,House Sparrow"
41.910408,-91.64231,2023-01-25 15:22:12.336,"Fox Sparrow,House Sparrow"
42.040905,-87.63817,2023-01-25 16:58:13.117,"Fox Sparrow,House Sparrow"
38.756046,-90.37217,2023-01-25 18:00:07.953,"Fox Sparrow,House Sparrow"
38.815567,-90.036804,2023-01-25 19:33:53.224,"Fox Sparrow,House Sparrow"
33.196014,-97.041824,2023-01-25 19:57:50.510,"Fox Sparrow,House Sparrow"
30.50173,-87.957054,2023-01-27 14:46:55.202,"Fox Sparrow,House Sparrow"
40.729664,-74.480835,2023-01-27 20:02:27.899,"Fox Sparrow,House Sparrow"
40.844303,-74.17549,2023-01-28 14:06:48.033,"Fox Sparrow,House Sparrow"
42.085045,-88.0474,2023-01-28 14:38:34.531,"Fox Sparrow,House Sparrow"
38.756046,-90.37217,2023-01-28 16:52:30.838,"Fox Sparrow,House Sparrow"
43.208973,-79.556114,2023-01-28 21:10:39.342,"Fox Sparrow,House Sparrow"
43.70853,-84.204506,2023-01-28 21:38:11.649,"Fox Sparrow,House Sparrow"
38.93351,-77.07546,2023-01-29 13:44:04.487,"Fox Sparrow,House Sparrow"
35.104687,-101.90039,2023-01-30 19:22:20.207,"Fox Sparrow,House Sparrow"
40.660076,-73.83507,2023-01-30 19:50:23.704,"Fox Sparrow,House Sparrow"
40.090305,-85.906555,2023-01-30 21:42:58.680,"Fox Sparrow,House Sparrow"
42.129612,-87.73923,2023-01-10 20:21:50.150,"Fox Sparrow,House Sparrow"
38.93351,-77.07546,2023-01-12 14:35:10.096,"Fox Sparrow,House Sparrow"
42.34262,-71.13769,2023-01-13 16:35:37.639,"Fox Sparrow,House Sparrow"
43.21399,-77.58972,2023-01-14 13:03:31.565,"Fox Sparrow,House Sparrow"
32.667526,-117.024086,2023-01-17 19:20:40.851,"Fox Sparrow,House Sparrow"
37.80853,-97.83331,2023-01-18 16:23:57.750,"Fox Sparrow,House Sparrow"
40.79307,-73.65119,2023-01-18 21:09:00.516,"Fox Sparrow,House Sparrow"
42.332638,-82.8932,2023-01-19 19:21:22.780,"Fox Sparrow,House Sparrow"
42.51843,-83.3578,2023-01-01 16:16:24.965,"Fox Sparrow,House Sparrow"
41.645203,-88.350876,2023-01-01 18:59:28.173,"Fox Sparrow,House Sparrow"
42.263878,-89.10344,2023-01-02 15:38:45.700,"Fox Sparrow,House Sparrow"
39.762558,-104.91922,2023-01-02 22:51:29.187,"Fox Sparrow,House Sparrow"
39.596344,-104.665565,2023-01-03 19:11:32.715,"Fox Sparrow,House Sparrow"
43.02516,-71.371704,2023-01-04 17:18:54.755,"Fox Sparrow,House Sparrow"
44.775227,-93.32465,2023-01-07 13:56:10.682,"Fox Sparrow,House Sparrow"
48.47089,-89.14227,2023-01-07 16:23:55.621,"Fox Sparrow,House Sparrow"
43.071384,-77.58971,2023-01-07 18:25:45.290,"Fox Sparrow,House Sparrow"
41.607265,-93.712425,2023-01-09 18:20:39.460,"Fox Sparrow,House Sparrow"
33.901062,-84.51705,2023-01-09 19:36:00.018,"Fox Sparrow,House Sparrow"
