anonymized_latitude,anonymized_longitude,timestamp,species_name
43.145367,-70.82053,2023-01-20 19:46:23.656,"Mourning Dove,Pine Warbler"
40.705715,-73.52294,2023-01-21 12:48:56.723,"Mourning Dove,Pine Warbler"
38.83492,-77.26344,2023-01-22 15:08:14.598,"Mourning Dove,Pine Warbler"
40.16108,-75.58908,2023-01-24 13:08:41.283,"Mourning Dove,Pine Warbler"
39.25927,-76.84933,2023-01-24 13:19:21.499,"Mourning Dove,Pine Warbler"
42.197147,-71.180695,2023-01-24 14:34:24.084,"Mourning Dove,Pine Warbler"
39.709324,-75.81339,2023-01-25 13:56:48.410,"Mourning Dove,Pine Warbler"
36.03447,-78.85717,2023-01-25 18:31:02.032,"Mourning Dove,Pine Warbler"
40.79307,-73.65119,2023-01-25 18:38:26.260,"Mourning Dove,Pine Warbler"
40.657528,-73.8914,2023-01-27 13:11:26.073,"Mourning Dove,Pine Warbler"
42.443356,-83.56465,2023-01-27 14:02:19.460,"Mourning Dove,Pine Warbler"
41.81432,-75.76495,2023-01-27 14:43:11.101,"Mourning Dove,Pine Warbler"
40.5345,-74.27977,2023-01-27 20:52:59.623,"Mourning Dove,Pine Warbler"
40.5345,-74.27977,2023-01-27 20:52:59.663,"Mourning Dove,Pine Warbler"
40.096977,-82.960556,2023-01-30 17:43:30.998,"Mourning Dove,Pine Warbler"
40.44228,-75.35546,2023-01-31 16:38:19.761,"Mourning Dove,Pine Warbler"
39.937256,-75.60056,2023-01-31 19:41:13.786,"Mourning Dove,Pine Warbler"
39.937256,-75.60056,2023-01-12 12:53:05.806,"Mourning Dove,Pine Warbler"
42.96865,-71.33805,2023-01-13 16:31:10.388,"Mourning Dove,Pine Warbler"
39.587944,-75.88031,2023-01-14 15:08:43.339,"Mourning Dove,Pine Warbler"
44.366913,-73.195625,2023-01-14 16:02:34.609,"Mourning Dove,Pine Warbler"
41.53423,-81.835434,2023-01-14 16:16:21.622,"Mourning Dove,Pine Warbler"
39.82705,-75.27364,2023-01-14 16:21:29.547,"Mourning Dove,Pine Warbler"
40.12219,-83.165855,2023-01-14 16:35:12.004,"Mourning Dove,Pine Warbler"
43.22364,-76.05483,2023-01-14 20:28:43.064,"Mourning Dove,Pine Warbler"
42.1262,-71.767075,2023-01-15 14:34:00.344,"Mourning Dove,Pine Warbler"
41.66154,-71.39766,2023-01-15 14:44:51.777,"Mourning Dove,Pine Warbler"
39.937256,-75.60056,2023-01-16 20:30:56.871,"Mourning Dove,Pine Warbler"
43.66902,-71.45221,2023-01-18 16:22:05.434,"Mourning Dove,Pine Warbler"
42.889236,-71.49125,2023-01-01 16:28:45.202,"Mourning Dove,Pine Warbler"
42.025906,-70.849144,2023-01-01 17:15:02.775,"Mourning Dove,Pine Warbler"
42.38054,-82.86942,2023-01-01 19:56:42.674,"Mourning Dove,Pine Warbler"
40.04355,-75.02327,2023-01-02 14:42:42.654,"Mourning Dove,Pine Warbler"
35.244717,-89.79694,2023-01-04 15:15:54.875,"Mourning Dove,Pine Warbler"
40.193996,-75.76455,2023-01-05 12:30:42.783,"Mourning Dove,Pine Warbler"
40.74953,-73.83832,2023-01-06 15:25:16.362,"Mourning Dove,Pine Warbler"
40.74953,-73.83832,2023-01-08 20:28:39.396,"Mourning Dove,Pine Warbler"
42.014763,-87.87943,2023-01-08 21:34:16.741,"Mourning Dove,Pine Warbler"
40.924282,-73.6999,2023-01-09 16:21:57.408,"Mourning Dove,Pine Warbler"
40.924282,-73.6999,2023-01-09 16:22:02.269,"Mourning Dove,Pine Warbler"
