anonymized_latitude,anonymized_longitude,timestamp,species_name
34.305607,-118.73749,2023-01-21 15:49:28.665,Pacific Wren
32.667572,-116.99913,2023-01-23 22:45:26.680,Pacific Wren
46.033802,-112.52816,2023-01-24 23:24:59.865,Pacific Wren
48.395977,-123.93785,2023-01-25 16:00:51.493,Pacific Wren
45.69273,-111.12025,2023-01-27 22:54:00.950,Pacific Wren
43.157757,-123.54298,2023-01-29 17:12:18.870,Pacific Wren
34.19424,-117.85106,2023-01-11 21:43:58.881,Pacific Wren
48.785027,-122.400566,2023-01-14 16:02:44.631,Pacific Wren
47.40882,-122.40848,2023-01-14 20:28:22.502,Pacific Wren
45.505577,-122.67376,2023-01-18 16:30:28.736,Pacific Wren
34.19424,-117.85106,2023-01-02 21:55:20.406,Pacific Wren
47.684196,-117.477295,2023-01-08 20:54:32.721,Pacific Wren
