anonymized_latitude,anonymized_longitude,timestamp,species_name
39.19131,-119.81197,2023-01-20 20:57:17.972,"Pine Siskin,Woodhouses Scrub-Jay"
33.488327,-111.69297,2023-01-28 15:04:03.956,"Pine Siskin,Woodhouses Scrub-Jay"
37.29826,-107.58461,2023-01-12 17:57:59.568,"Pine Siskin,Woodhouses Scrub-Jay"
39.452106,-105.29736,2023-01-16 19:38:17.159,"Pine Siskin,Woodhouses Scrub-Jay"
33.171665,-111.67531,2023-01-17 21:53:19.179,"Pine Siskin,Woodhouses Scrub-Jay"
40.485516,-111.94389,2023-01-01 21:00:25.255,"Pine Siskin,Woodhouses Scrub-Jay"
35.06081,-106.596855,2023-01-03 17:03:00.054,"Pine Siskin,Woodhouses Scrub-Jay"
39.572857,-105.0231,2023-01-09 15:45:47.633,"Pine Siskin,Woodhouses Scrub-Jay"
34.58963,-112.47091,2023-01-09 16:15:14.195,"Pine Siskin,Woodhouses Scrub-Jay"
39.572857,-105.0231,2023-01-09 22:24:02.581,"Pine Siskin,Woodhouses Scrub-Jay"
